,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9232070433715812,0.9055775976079582,48.4,10.0,7.6,120.2,0.9234879624192601,0.07651203758073986,0.13571428571428573,0.8642857142857144,0.9448390610346594,0.9294959353346496,0.9234899328859061,0.9408602150537635,49.0,3.0,7.0,127.0,0.9769230769230769,0.023076923076923078,0.125,0.875,0.9481481481481482,0.959409594095941,0.01725436462253261,0.0701357766735404,7.231873892705818,14.474114826130128,7.231873892705818,14.042791745233567,0.11045215888526345,0.11045215888526344,0.1291406052268896,0.12914060522688958,0.05199707745193573,0.05702669758639627,"[0.946236559139785, 0.9234899328859061, 0.9100671140939597, 0.9033557046979865, 0.9328859060402684]","[0.8128342245989305, 0.9516129032258065, 0.9408602150537635, 0.9731182795698925, 0.8494623655913979]","[56, 49, 45, 54, 38]","[35, 2, 0, 3, 10]","[0, 7, 11, 2, 18]","[96, 128, 130, 127, 120]","[0.732824427480916, 0.9846153846153847, 1.0, 0.9769230769230769, 0.9230769230769231]","[0.26717557251908397, 0.015384615384615385, 0.0, 0.023076923076923078, 0.07692307692307693]","[0.0, 0.125, 0.19642857142857142, 0.03571428571428571, 0.32142857142857145]","[1.0, 0.875, 0.8035714285714286, 0.9642857142857143, 0.6785714285714286]","[1.0, 0.9481481481481482, 0.9219858156028369, 0.9844961240310077, 0.8695652173913043]","[0.8458149779735683, 0.9660377358490566, 0.959409594095941, 0.9806949806949806, 0.8955223880597014]","[[[56, 0], [35, 96]], [[49, 7], [2, 128]], [[45, 11], [0, 130]], [[54, 2], [3, 127]], [[38, 18], [10, 120]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,1.0,0.9474268299695245,53.4,7.2,2.6,123.0,0.944826776277158,0.055173223722842044,0.04642857142857142,0.9535714285714286,0.9793662958458871,0.96111672167181,1.0,0.9516129032258065,54.0,4.0,2.0,126.0,0.9692307692307692,0.03076923076923077,0.03571428571428571,0.9642857142857143,0.9826086956521739,0.9655172413793103,0.0,0.03919824344458329,1.5165750888103102,7.19027120489902,1.5165750888103102,6.819090848492928,0.05491348293220762,0.0549134829322076,0.027081698014469826,0.027081698014469822,0.01149299404402773,0.029966814685908186,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.893048128342246, 0.9516129032258065, 0.9838709677419355, 0.9838709677419355, 0.9247311827956989]","[54, 51, 54, 55, 53]","[18, 4, 1, 2, 11]","[2, 5, 2, 1, 3]","[113, 126, 129, 128, 119]","[0.8625954198473282, 0.9692307692307692, 0.9923076923076923, 0.9846153846153847, 0.9153846153846154]","[0.13740458015267176, 0.03076923076923077, 0.007692307692307693, 0.015384615384615385, 0.08461538461538462]","[0.03571428571428571, 0.08928571428571429, 0.03571428571428571, 0.017857142857142856, 0.05357142857142857]","[0.9642857142857143, 0.9107142857142857, 0.9642857142857143, 0.9821428571428571, 0.9464285714285714]","[0.9826086956521739, 0.9618320610687023, 0.9847328244274809, 0.9922480620155039, 0.9754098360655737]","[0.9186991869918698, 0.9655172413793103, 0.9885057471264368, 0.9884169884169884, 0.9444444444444444]","[[[54, 2], [18, 113]], [[51, 5], [4, 126]], [[54, 2], [1, 129]], [[55, 1], [2, 128]], [[53, 3], [11, 119]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9578436891101971,0.9388419297337703,49.8,5.2,6.2,125.0,0.9602701115678215,0.039729888432178506,0.1107142857142857,0.8892857142857142,0.9553122674048543,0.9554209084605733,0.9570469798657718,0.9408602150537635,48.0,1.0,8.0,129.0,0.9923076923076923,0.007692307692307693,0.14285714285714285,0.8571428571428571,0.9420289855072463,0.9588014981273408,0.007673445639902124,0.03935750349142086,5.019960159204453,9.984988733093294,5.019960159204453,9.539392014169456,0.07620572037499833,0.07620572037499833,0.08964214570007953,0.08964214570007954,0.03558730451551793,0.03158889669160274,"[0.967741935483871, 0.9624161073825503, 0.9570469798657718, 0.9476510067114094, 0.9543624161073826]","[0.8770053475935828, 0.9354838709677419, 0.956989247311828, 0.9838709677419355, 0.9408602150537635]","[56, 44, 48, 54, 47]","[23, 0, 0, 1, 2]","[0, 12, 8, 2, 9]","[108, 130, 130, 129, 128]","[0.8244274809160306, 1.0, 1.0, 0.9923076923076923, 0.9846153846153847]","[0.17557251908396945, 0.0, 0.0, 0.007692307692307693, 0.015384615384615385]","[0.0, 0.21428571428571427, 0.14285714285714285, 0.03571428571428571, 0.16071428571428573]","[1.0, 0.7857142857142857, 0.8571428571428571, 0.9642857142857143, 0.8392857142857143]","[1.0, 0.9154929577464789, 0.9420289855072463, 0.9847328244274809, 0.9343065693430657]","[0.9037656903765691, 0.9558823529411764, 0.9701492537313433, 0.9885057471264368, 0.9588014981273408]","[[[56, 0], [23, 108]], [[44, 12], [0, 130]], [[48, 8], [0, 130]], [[54, 2], [1, 129]], [[47, 9], [2, 128]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9860359385148302,0.9495773676039331,52.8,6.2,3.2,124.0,0.952542571931885,0.04745742806811509,0.05714285714285714,0.9428571428571428,0.9757983894307966,0.9628089301406625,0.9852348993288591,0.956989247311828,53.0,4.0,3.0,126.0,0.9692307692307692,0.03076923076923077,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9696969696969696,0.004710043063688902,0.035555256810725425,2.7748873851023212,7.9498427657407165,2.7748873851023217,7.516648189186454,0.060643114810137115,0.060643114810137094,0.04955156044825574,0.04955156044825571,0.02088589144410722,0.02791685805209176,"[0.9838709677419355, 0.9892617449664429, 0.9852348993288591, 0.9798657718120806, 0.9919463087248322]","[0.893048128342246, 0.956989247311828, 0.9838709677419355, 0.9731182795698925, 0.9408602150537635]","[56, 50, 53, 55, 50]","[20, 2, 0, 4, 5]","[0, 6, 3, 1, 6]","[111, 128, 130, 126, 125]","[0.8473282442748091, 0.9846153846153847, 1.0, 0.9692307692307692, 0.9615384615384616]","[0.15267175572519084, 0.015384615384615385, 0.0, 0.03076923076923077, 0.038461538461538464]","[0.0, 0.10714285714285714, 0.05357142857142857, 0.017857142857142856, 0.10714285714285714]","[1.0, 0.8928571428571429, 0.9464285714285714, 0.9821428571428571, 0.8928571428571429]","[1.0, 0.9552238805970149, 0.9774436090225563, 0.9921259842519685, 0.9541984732824428]","[0.9173553719008264, 0.9696969696969696, 0.988593155893536, 0.980544747081712, 0.9578544061302683]","[[[56, 0], [20, 111]], [[50, 6], [2, 128]], [[53, 3], [0, 130]], [[55, 1], [4, 126]], [[50, 6], [5, 125]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.8604163072853774,45.0,15.0,11.0,115.2,0.8849324721080446,0.11506752789195537,0.19642857142857142,0.8035714285714286,0.9133552893745979,0.8977046316440068,1.0,0.8709677419354839,45.0,11.0,11.0,119.0,0.9153846153846154,0.08461538461538462,0.19642857142857142,0.8035714285714286,0.9083333333333333,0.9083969465648855,0.0,0.03938507278336531,2.5495097567963922,8.573214099741124,2.5495097567963922,8.228000972289685,0.06539450368079733,0.06539450368079733,0.045526959942792725,0.0455269599427927,0.01568793368541001,0.03271754214229819,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8128342245989305, 0.8817204301075269, 0.8709677419354839, 0.9086021505376344, 0.8279569892473119]","[48, 42, 43, 47, 45]","[27, 8, 11, 8, 21]","[8, 14, 13, 9, 11]","[104, 122, 119, 122, 109]","[0.7938931297709924, 0.9384615384615385, 0.9153846153846154, 0.9384615384615385, 0.8384615384615385]","[0.20610687022900764, 0.06153846153846154, 0.08461538461538462, 0.06153846153846154, 0.16153846153846155]","[0.14285714285714285, 0.25, 0.23214285714285715, 0.16071428571428573, 0.19642857142857142]","[0.8571428571428571, 0.75, 0.7678571428571429, 0.8392857142857143, 0.8035714285714286]","[0.9285714285714286, 0.8970588235294118, 0.9015151515151515, 0.9312977099236641, 0.9083333333333333]","[0.8559670781893005, 0.9172932330827067, 0.9083969465648855, 0.9348659003831418, 0.872]","[[[48, 8], [27, 104]], [[42, 14], [8, 122]], [[43, 13], [11, 119]], [[47, 9], [8, 122]], [[45, 11], [21, 109]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9463688114542004,51.4,5.4,4.6,124.8,0.95873165002936,0.04126834997064004,0.08214285714285714,0.9178571428571429,0.9663036179090059,0.9604869549292774,1.0,0.9623655913978495,51.0,2.0,5.0,128.0,0.9846153846153847,0.015384615384615385,0.08928571428571429,0.9107142857142857,0.9624060150375939,0.973384030418251,0.0,0.045047077896021644,4.39317652729776,9.889388252060893,4.39317652729776,9.444575162494075,0.075471350014525,0.075471350014525,0.07844958084460284,0.07844958084460282,0.031635941294574046,0.03543314581732138,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8770053475935828, 0.9623655913978495, 0.967741935483871, 0.9946236559139785, 0.9301075268817204]","[56, 51, 50, 55, 45]","[23, 2, 0, 0, 2]","[0, 5, 6, 1, 11]","[108, 128, 130, 130, 128]","[0.8244274809160306, 0.9846153846153847, 1.0, 1.0, 0.9846153846153847]","[0.17557251908396945, 0.015384615384615385, 0.0, 0.0, 0.015384615384615385]","[0.0, 0.08928571428571429, 0.10714285714285714, 0.017857142857142856, 0.19642857142857142]","[1.0, 0.9107142857142857, 0.8928571428571429, 0.9821428571428571, 0.8035714285714286]","[1.0, 0.9624060150375939, 0.9558823529411765, 0.9923664122137404, 0.920863309352518]","[0.9037656903765691, 0.973384030418251, 0.9774436090225563, 0.9961685823754789, 0.9516728624535317]","[[[56, 0], [23, 108]], [[51, 5], [2, 128]], [[50, 6], [0, 130]], [[55, 1], [0, 130]], [[45, 11], [2, 128]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,0.9994630872483221,0.9345351043643264,53.2,9.4,2.8,120.8,0.9278919553728715,0.0721080446271286,0.05,0.95,0.9770677002219736,0.9514079601241517,1.0,0.9301075268817204,53.0,8.0,3.0,122.0,0.9384615384615385,0.06153846153846154,0.05357142857142857,0.9464285714285714,0.9743589743589743,0.9494163424124514,0.0007351980637653105,0.04690880937128175,2.280350850198276,7.127411872482185,2.280350850198276,6.870225614927067,0.05456131577734362,0.05456131577734361,0.040720550896397784,0.040720550896397784,0.018719622993305304,0.03530798549472758,"[1.0, 0.9986577181208054, 1.0, 1.0, 0.9986577181208054]","[0.8823529411764706, 0.9301075268817204, 0.9946236559139785, 0.967741935483871, 0.8978494623655914]","[51, 51, 55, 56, 53]","[17, 8, 0, 6, 16]","[5, 5, 1, 0, 3]","[114, 122, 130, 124, 114]","[0.8702290076335878, 0.9384615384615385, 1.0, 0.9538461538461539, 0.8769230769230769]","[0.1297709923664122, 0.06153846153846154, 0.0, 0.046153846153846156, 0.12307692307692308]","[0.08928571428571429, 0.08928571428571429, 0.017857142857142856, 0.0, 0.05357142857142857]","[0.9107142857142857, 0.9107142857142857, 0.9821428571428571, 1.0, 0.9464285714285714]","[0.957983193277311, 0.9606299212598425, 0.9923664122137404, 1.0, 0.9743589743589743]","[0.912, 0.9494163424124514, 0.9961685823754789, 0.9763779527559054, 0.923076923076923]","[[[51, 5], [17, 114]], [[51, 5], [8, 122]], [[55, 1], [0, 130]], [[56, 0], [6, 124]], [[53, 3], [16, 114]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9485135989879823,52.4,6.0,3.6,124.2,0.9540927774515561,0.04590722254844392,0.06428571428571428,0.9357142857142856,0.9731724555469965,0.9620418907253507,1.0,0.956989247311828,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.9841269841269841,0.96875,0.0,0.03971708699908828,3.7815340802378072,8.689073598491383,3.7815340802378077,8.258329128825032,0.06630700048019235,0.06630700048019231,0.06752739428996085,0.06752739428996085,0.026463084946810093,0.03124210648865359,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8823529411764706, 0.9731182795698925, 0.946236559139785, 0.9838709677419355, 0.956989247311828]","[55, 52, 46, 55, 54]","[21, 1, 0, 2, 6]","[1, 4, 10, 1, 2]","[110, 129, 130, 128, 124]","[0.8396946564885496, 0.9923076923076923, 1.0, 0.9846153846153847, 0.9538461538461539]","[0.16030534351145037, 0.007692307692307693, 0.0, 0.015384615384615385, 0.046153846153846156]","[0.017857142857142856, 0.07142857142857142, 0.17857142857142858, 0.017857142857142856, 0.03571428571428571]","[0.9821428571428571, 0.9285714285714286, 0.8214285714285714, 0.9821428571428571, 0.9642857142857143]","[0.990990990990991, 0.9699248120300752, 0.9285714285714286, 0.9922480620155039, 0.9841269841269841]","[0.9090909090909091, 0.9809885931558935, 0.962962962962963, 0.9884169884169884, 0.96875]","[[[55, 1], [21, 110]], [[52, 4], [1, 129]], [[46, 10], [0, 130]], [[55, 1], [2, 128]], [[54, 2], [6, 124]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9442297740210452,51.0,5.4,5.0,124.8,0.95873165002936,0.04126834997064004,0.08928571428571427,0.9107142857142858,0.9625555906630077,0.9589313362530605,1.0,0.956989247311828,50.0,1.0,6.0,129.0,0.9923076923076923,0.007692307692307693,0.10714285714285714,0.8928571428571429,0.9558823529411765,0.9701492537313433,0.0,0.0469708013441925,3.3166247903554,9.914635646356352,3.3166247903554,9.47100839404126,0.0756671029697286,0.0756671029697286,0.05922544268491785,0.05922544268491786,0.02344139644054225,0.03711374688072733,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8663101604278075, 0.967741935483871, 0.956989247311828, 0.989247311827957, 0.9408602150537635]","[54, 50, 48, 55, 48]","[23, 0, 0, 1, 3]","[2, 6, 8, 1, 8]","[108, 130, 130, 129, 127]","[0.8244274809160306, 1.0, 1.0, 0.9923076923076923, 0.9769230769230769]","[0.17557251908396945, 0.0, 0.0, 0.007692307692307693, 0.023076923076923078]","[0.03571428571428571, 0.10714285714285714, 0.14285714285714285, 0.017857142857142856, 0.14285714285714285]","[0.9642857142857143, 0.8928571428571429, 0.8571428571428571, 0.9821428571428571, 0.8571428571428571]","[0.9818181818181818, 0.9558823529411765, 0.9420289855072463, 0.9923076923076923, 0.9407407407407408]","[0.896265560165975, 0.9774436090225563, 0.9701492537313433, 0.9923076923076923, 0.9584905660377359]","[[[54, 2], [23, 108]], [[50, 6], [0, 130]], [[48, 8], [0, 130]], [[55, 1], [1, 129]], [[48, 8], [3, 127]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9506526364211373,53.6,6.8,2.4,123.4,0.9479036993540811,0.05209630064591897,0.04285714285714286,0.9571428571428571,0.9809797995333845,0.9634895006781876,1.0,0.9516129032258065,54.0,4.0,2.0,126.0,0.9692307692307692,0.03076923076923077,0.03571428571428571,0.9642857142857143,0.9826086956521739,0.9655172413793103,0.0,0.040989025753393395,1.8165902124584952,7.293833011524187,1.816590212458495,6.913754406977442,0.05570118413902537,0.05570118413902537,0.03243911093675884,0.032439110936758844,0.01391816537153713,0.0311946227480107,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.893048128342246, 0.9516129032258065, 0.989247311827957, 0.989247311827957, 0.9301075268817204]","[54, 51, 54, 56, 53]","[18, 4, 0, 2, 10]","[2, 5, 2, 0, 3]","[113, 126, 130, 128, 120]","[0.8625954198473282, 0.9692307692307692, 1.0, 0.9846153846153847, 0.9230769230769231]","[0.13740458015267176, 0.03076923076923077, 0.0, 0.015384615384615385, 0.07692307692307693]","[0.03571428571428571, 0.08928571428571429, 0.03571428571428571, 0.0, 0.05357142857142857]","[0.9642857142857143, 0.9107142857142857, 0.9642857142857143, 1.0, 0.9464285714285714]","[0.9826086956521739, 0.9618320610687023, 0.9848484848484849, 1.0, 0.975609756097561]","[0.9186991869918698, 0.9655172413793103, 0.9923664122137404, 0.9922480620155039, 0.9486166007905139]","[[[54, 2], [18, 113]], [[51, 5], [4, 126]], [[54, 2], [0, 130]], [[56, 0], [2, 128]], [[53, 3], [10, 120]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
