,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.7067676986360685,0.7067793686389512,36.8,35.4,19.2,94.8,0.7283617146212567,0.2716382853787434,0.34285714285714286,0.6571428571428573,0.8451171614687458,0.774235132190199,0.7096774193548387,0.6951871657754011,31.0,36.0,25.0,94.0,0.7230769230769231,0.27692307692307694,0.44642857142857145,0.5535714285714286,0.8046875,0.746031746031746,0.01632782433646716,0.06539561976458742,12.275992831539126,13.649175799292792,12.275992831539126,13.255187663703596,0.10367182754981526,0.10367182754981528,0.21921415770605582,0.21921415770605582,0.09927408124895248,0.05641133750213606,"[0.7096774193548387, 0.6805369127516778, 0.7033557046979866, 0.7208053691275168, 0.7194630872483222]","[0.6951871657754011, 0.8118279569892473, 0.7204301075268817, 0.6505376344086021, 0.6559139784946236]","[56, 42, 31, 27, 28]","[57, 21, 27, 36, 36]","[0, 14, 25, 29, 28]","[74, 109, 103, 94, 94]","[0.5648854961832062, 0.8384615384615385, 0.7923076923076923, 0.7230769230769231, 0.7230769230769231]","[0.4351145038167939, 0.16153846153846155, 0.2076923076923077, 0.27692307692307694, 0.27692307692307694]","[0.0, 0.25, 0.44642857142857145, 0.5178571428571429, 0.5]","[1.0, 0.75, 0.5535714285714286, 0.48214285714285715, 0.5]","[1.0, 0.8861788617886179, 0.8046875, 0.7642276422764228, 0.7704918032786885]","[0.7219512195121952, 0.8616600790513834, 0.7984496124031009, 0.7430830039525692, 0.746031746031746]","[[[56, 0], [57, 74]], [[42, 14], [21, 109]], [[31, 25], [27, 103]], [[27, 29], [36, 94]], [[28, 28], [36, 94]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,0.7105260878978135,0.6841987234776608,28.4,31.2,27.6,99.0,0.760669406928949,0.23933059307105112,0.4928571428571429,0.5071428571428571,0.8076663353475814,0.7664600784052388,0.7096774193548387,0.6951871657754011,28.0,36.0,28.0,94.0,0.7230769230769231,0.27692307692307694,0.5,0.5,0.7704918032786885,0.746031746031746,0.009526884946768588,0.02993079548414622,19.85698869416005,20.632498636859278,19.85698869416005,20.322401432901575,0.15766883274182192,0.15766883274182192,0.35458908382428656,0.3545890838242866,0.1141213327836424,0.04225117922132503,"[0.7096774193548387, 0.6993288590604027, 0.7033557046979866, 0.7208053691275168, 0.7194630872483222]","[0.6951871657754011, 0.6989247311827957, 0.7204301075268817, 0.6505376344086021, 0.6559139784946236]","[56, 0, 31, 27, 28]","[57, 0, 27, 36, 36]","[0, 56, 25, 29, 28]","[74, 130, 103, 94, 94]","[0.5648854961832062, 1.0, 0.7923076923076923, 0.7230769230769231, 0.7230769230769231]","[0.4351145038167939, 0.0, 0.2076923076923077, 0.27692307692307694, 0.27692307692307694]","[0.0, 1.0, 0.44642857142857145, 0.5178571428571429, 0.5]","[1.0, 0.0, 0.5535714285714286, 0.48214285714285715, 0.5]","[1.0, 0.6989247311827957, 0.8046875, 0.7642276422764228, 0.7704918032786885]","[0.7219512195121952, 0.8227848101265823, 0.7984496124031009, 0.7430830039525692, 0.746031746031746]","[[[56, 0], [57, 74]], [[0, 56], [0, 130]], [[31, 25], [27, 103]], [[27, 29], [36, 94]], [[28, 28], [36, 94]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.7105260878978135,0.6841987234776608,28.4,31.2,27.6,99.0,0.760669406928949,0.23933059307105112,0.4928571428571429,0.5071428571428571,0.8076663353475814,0.7664600784052388,0.7096774193548387,0.6951871657754011,28.0,36.0,28.0,94.0,0.7230769230769231,0.27692307692307694,0.5,0.5,0.7704918032786885,0.746031746031746,0.009526884946768588,0.02993079548414622,19.85698869416005,20.632498636859278,19.85698869416005,20.322401432901575,0.15766883274182192,0.15766883274182192,0.35458908382428656,0.3545890838242866,0.1141213327836424,0.04225117922132503,"[0.7096774193548387, 0.6993288590604027, 0.7033557046979866, 0.7208053691275168, 0.7194630872483222]","[0.6951871657754011, 0.6989247311827957, 0.7204301075268817, 0.6505376344086021, 0.6559139784946236]","[56, 0, 31, 27, 28]","[57, 0, 27, 36, 36]","[0, 56, 25, 29, 28]","[74, 130, 103, 94, 94]","[0.5648854961832062, 1.0, 0.7923076923076923, 0.7230769230769231, 0.7230769230769231]","[0.4351145038167939, 0.0, 0.2076923076923077, 0.27692307692307694, 0.27692307692307694]","[0.0, 1.0, 0.44642857142857145, 0.5178571428571429, 0.5]","[1.0, 0.0, 0.5535714285714286, 0.48214285714285715, 0.5]","[1.0, 0.6989247311827957, 0.8046875, 0.7642276422764228, 0.7704918032786885]","[0.7219512195121952, 0.8227848101265823, 0.7984496124031009, 0.7430830039525692, 0.746031746031746]","[[[56, 0], [57, 74]], [[0, 56], [0, 130]], [[31, 25], [27, 103]], [[27, 29], [36, 94]], [[28, 28], [36, 94]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.8928566789348343,0.7883847967339429,36.2,19.6,19.8,110.6,0.8496418085731063,0.15035819142689372,0.35357142857142854,0.6464285714285715,0.8580629110090034,0.8452944022235078,0.8911290322580645,0.8021390374331551,32.0,16.0,24.0,114.0,0.8769230769230769,0.12307692307692308,0.42857142857142855,0.5714285714285714,0.8410596026490066,0.8475836431226766,0.006813676297791354,0.05703621085492252,11.819475453673908,17.7426040929735,11.819475453673906,17.529974329701684,0.1360379830027714,0.1360379830027714,0.21106206167274835,0.21106206167274832,0.07182906152173939,0.05380998568435462,"[0.8911290322580645, 0.887248322147651, 0.8912751677852349, 0.8899328859060402, 0.9046979865771813]","[0.8021390374331551, 0.8064516129032258, 0.8548387096774194, 0.7795698924731183, 0.6989247311827957]","[54, 23, 32, 31, 41]","[35, 3, 3, 16, 41]","[2, 33, 24, 25, 15]","[96, 127, 127, 114, 89]","[0.732824427480916, 0.9769230769230769, 0.9769230769230769, 0.8769230769230769, 0.6846153846153846]","[0.26717557251908397, 0.023076923076923078, 0.023076923076923078, 0.12307692307692308, 0.3153846153846154]","[0.03571428571428571, 0.5892857142857143, 0.42857142857142855, 0.44642857142857145, 0.26785714285714285]","[0.9642857142857143, 0.4107142857142857, 0.5714285714285714, 0.5535714285714286, 0.7321428571428571]","[0.9795918367346939, 0.79375, 0.8410596026490066, 0.8201438848920863, 0.8557692307692307]","[0.8384279475982532, 0.8758620689655173, 0.9039145907473309, 0.8475836431226766, 0.7606837606837608]","[[[54, 2], [35, 96]], [[23, 33], [3, 127]], [[32, 24], [3, 127]], [[31, 25], [16, 114]], [[41, 15], [41, 89]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.7260939566442413,33.2,28.2,22.8,102.0,0.783652378156195,0.2163476218438051,0.40714285714285714,0.5928571428571427,0.8307535590550911,0.7969814773054296,1.0,0.732620320855615,27.0,31.0,29.0,99.0,0.7615384615384615,0.23846153846153847,0.5178571428571429,0.48214285714285715,0.7908496732026143,0.7919999999999999,0.0,0.05047696776755537,12.93058390019569,16.284962388657824,12.93058390019569,15.968719422671311,0.12435345352397834,0.12435345352397835,0.2309032839320659,0.23090328393206588,0.0906633369821823,0.047781663294920784,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.732620320855615, 0.7795698924731183, 0.7526881720430108, 0.7204301075268817, 0.6451612903225806]","[55, 24, 25, 35, 27]","[49, 9, 15, 31, 37]","[1, 32, 31, 21, 29]","[82, 121, 115, 99, 93]","[0.6259541984732825, 0.9307692307692308, 0.8846153846153846, 0.7615384615384615, 0.7153846153846154]","[0.37404580152671757, 0.06923076923076923, 0.11538461538461539, 0.23846153846153847, 0.2846153846153846]","[0.017857142857142856, 0.5714285714285714, 0.5535714285714286, 0.375, 0.5178571428571429]","[0.9821428571428571, 0.42857142857142855, 0.44642857142857145, 0.625, 0.48214285714285715]","[0.9879518072289156, 0.7908496732026143, 0.7876712328767124, 0.825, 0.7622950819672131]","[0.7663551401869159, 0.8551236749116606, 0.8333333333333333, 0.7919999999999999, 0.738095238095238]","[[[55, 1], [49, 82]], [[24, 32], [9, 121]], [[25, 31], [15, 115]], [[35, 21], [31, 99]], [[27, 29], [37, 93]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.7840837214651257,32.6,16.8,23.4,113.4,0.8711802701115678,0.1288197298884322,0.41785714285714287,0.5821428571428571,0.8383994608650689,0.8475311370892861,1.0,0.8021390374331551,28.0,19.0,28.0,111.0,0.8538461538461538,0.14615384615384616,0.5,0.5,0.80625,0.8384279475982532,0.0,0.05377000157072462,12.05404496424333,15.073154945133417,12.05404496424333,14.774978849392644,0.11532895551046712,0.11532895551046708,0.21525080293291662,0.21525080293291662,0.07939556050482327,0.04294862547218305,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8021390374331551, 0.8333333333333334, 0.8279569892473119, 0.7473118279569892, 0.7096774193548387]","[54, 27, 25, 28, 29]","[35, 2, 1, 19, 27]","[2, 29, 31, 28, 27]","[96, 128, 129, 111, 103]","[0.732824427480916, 0.9846153846153847, 0.9923076923076923, 0.8538461538461538, 0.7923076923076923]","[0.26717557251908397, 0.015384615384615385, 0.007692307692307693, 0.14615384615384616, 0.2076923076923077]","[0.03571428571428571, 0.5178571428571429, 0.5535714285714286, 0.5, 0.48214285714285715]","[0.9642857142857143, 0.48214285714285715, 0.44642857142857145, 0.5, 0.5178571428571429]","[0.9795918367346939, 0.8152866242038217, 0.80625, 0.7985611510791367, 0.7923076923076923]","[0.8384279475982532, 0.89198606271777, 0.8896551724137932, 0.8252788104089219, 0.7923076923076923]","[[[54, 2], [35, 96]], [[27, 29], [2, 128]], [[25, 31], [1, 129]], [[28, 28], [19, 111]], [[29, 27], [27, 103]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,0.6345529335353973,0.5820481858432522,31.2,53.0,24.8,77.2,0.5929770992366412,0.40702290076335873,0.4428571428571429,0.5571428571428572,0.7345480557776888,0.6454264324420984,0.7096774193548387,0.6559139784946236,28.0,36.0,28.0,94.0,0.7230769230769231,0.27692307692307694,0.5,0.5,0.7704918032786885,0.7430830039525692,0.17628693781135982,0.22205593935445075,15.319921670818033,33.18885355055218,15.319921670818033,33.1617249249794,0.25520239513059756,0.2552023951305976,0.2735700298360363,0.2735700298360363,0.24419785045761172,0.24080679044811334,"[0.7096774193548387, 0.3194630872483222, 0.7033557046979866, 0.7208053691275168, 0.7194630872483222]","[0.6951871657754011, 0.1881720430107527, 0.7204301075268817, 0.6505376344086021, 0.6559139784946236]","[56, 14, 31, 27, 28]","[57, 109, 27, 36, 36]","[0, 42, 25, 29, 28]","[74, 21, 103, 94, 94]","[0.5648854961832062, 0.16153846153846155, 0.7923076923076923, 0.7230769230769231, 0.7230769230769231]","[0.4351145038167939, 0.8384615384615385, 0.2076923076923077, 0.27692307692307694, 0.27692307692307694]","[0.0, 0.75, 0.44642857142857145, 0.5178571428571429, 0.5]","[1.0, 0.25, 0.5535714285714286, 0.48214285714285715, 0.5]","[1.0, 0.3333333333333333, 0.8046875, 0.7642276422764228, 0.7704918032786885]","[0.7219512195121952, 0.21761658031088082, 0.7984496124031009, 0.7430830039525692, 0.746031746031746]","[[[56, 0], [57, 74]], [[14, 42], [109, 21]], [[31, 25], [27, 103]], [[27, 29], [36, 94]], [[28, 28], [36, 94]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,0.986035577686368,0.7808636651141395,34.8,19.6,21.2,110.6,0.8496535525543158,0.1503464474456841,0.37857142857142856,0.6214285714285714,0.8475259640704987,0.8430626004529476,0.9852348993288591,0.7967914438502673,32.0,23.0,24.0,107.0,0.823076923076923,0.17692307692307693,0.42857142857142855,0.5714285714285714,0.8203125,0.8333333333333333,0.0036322991194776243,0.048534051254487315,11.031772296417289,12.541929676090517,11.03177229641729,12.218837915284743,0.09578750795640242,0.09578750795640241,0.19699593386459446,0.19699593386459446,0.07596276441869484,0.03753717474854278,"[0.9825268817204301, 0.9838926174496644, 0.9865771812080537, 0.9852348993288591, 0.9919463087248322]","[0.7967914438502673, 0.8387096774193549, 0.8064516129032258, 0.7204301075268817, 0.7419354838709677]","[54, 32, 28, 27, 33]","[36, 6, 8, 23, 25]","[2, 24, 28, 29, 23]","[95, 124, 122, 107, 105]","[0.7251908396946565, 0.9538461538461539, 0.9384615384615385, 0.823076923076923, 0.8076923076923077]","[0.2748091603053435, 0.046153846153846156, 0.06153846153846154, 0.17692307692307693, 0.19230769230769232]","[0.03571428571428571, 0.42857142857142855, 0.5, 0.5178571428571429, 0.4107142857142857]","[0.9642857142857143, 0.5714285714285714, 0.5, 0.48214285714285715, 0.5892857142857143]","[0.979381443298969, 0.8378378378378378, 0.8133333333333334, 0.7867647058823529, 0.8203125]","[0.8333333333333333, 0.8920863309352518, 0.8714285714285714, 0.8045112781954886, 0.813953488372093]","[[[54, 2], [36, 95]], [[32, 24], [6, 124]], [[28, 28], [8, 122]], [[27, 29], [23, 107]], [[33, 23], [25, 105]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,0.9932871472901782,0.7883847967339429,33.0,16.4,23.0,113.8,0.8742571931884908,0.1257428068115091,0.41071428571428575,0.5892857142857142,0.8411879466059322,0.8506564851949939,0.9946308724832215,0.8021390374331551,27.0,17.0,29.0,113.0,0.8692307692307693,0.13076923076923078,0.5178571428571429,0.48214285714285715,0.8152866242038217,0.8384279475982532,0.003795909933919132,0.050304099787241235,11.811011811017716,14.6047937335657,11.811011811017716,14.289856542317002,0.1116920808783676,0.11169208087836757,0.21091092519674495,0.21091092519674493,0.07787202394513888,0.040382238938917535,"[0.9946236559139785, 0.9865771812080537, 0.9946308724832215, 0.9946308724832215, 0.9959731543624161]","[0.8021390374331551, 0.8333333333333334, 0.8333333333333334, 0.7526881720430108, 0.7204301075268817]","[54, 27, 27, 27, 30]","[35, 2, 2, 17, 26]","[2, 29, 29, 29, 26]","[96, 128, 128, 113, 104]","[0.732824427480916, 0.9846153846153847, 0.9846153846153847, 0.8692307692307693, 0.8]","[0.26717557251908397, 0.015384615384615385, 0.015384615384615385, 0.13076923076923078, 0.2]","[0.03571428571428571, 0.5178571428571429, 0.5178571428571429, 0.5178571428571429, 0.4642857142857143]","[0.9642857142857143, 0.48214285714285715, 0.48214285714285715, 0.48214285714285715, 0.5357142857142857]","[0.9795918367346939, 0.8152866242038217, 0.8152866242038217, 0.795774647887324, 0.8]","[0.8384279475982532, 0.89198606271777, 0.89198606271777, 0.8308823529411764, 0.8000000000000002]","[[[54, 2], [35, 96]], [[27, 29], [2, 128]], [[27, 29], [2, 128]], [[27, 29], [17, 113]], [[30, 26], [26, 104]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,0.8036804503139209,0.7218331320798114,26.8,22.6,29.2,107.6,0.826823253082795,0.17317674691720494,0.5214285714285715,0.47857142857142854,0.8114713350613109,0.7993198837345105,0.7194630872483222,0.6989247311827957,25.0,19.0,31.0,111.0,0.8538461538461538,0.14615384615384616,0.5535714285714286,0.44642857142857145,0.7816901408450704,0.8161764705882353,0.13490666857394035,0.06505733323623161,19.86705816169067,24.254896412889504,19.86705816169067,23.90188277102873,0.1853916205922925,0.18539162059229253,0.3547688957444763,0.3547688957444763,0.11269793636314152,0.06674718626108149,"[0.7096774193548387, 0.8899328859060402, 0.6993288590604027, 1.0, 0.7194630872483222]","[0.6951871657754011, 0.8279569892473119, 0.6989247311827957, 0.7311827956989247, 0.6559139784946236]","[56, 25, 0, 25, 28]","[57, 1, 0, 19, 36]","[0, 31, 56, 31, 28]","[74, 129, 130, 111, 94]","[0.5648854961832062, 0.9923076923076923, 1.0, 0.8538461538461538, 0.7230769230769231]","[0.4351145038167939, 0.007692307692307693, 0.0, 0.14615384615384616, 0.27692307692307694]","[0.0, 0.5535714285714286, 1.0, 0.5535714285714286, 0.5]","[1.0, 0.44642857142857145, 0.0, 0.44642857142857145, 0.5]","[1.0, 0.80625, 0.6989247311827957, 0.7816901408450704, 0.7704918032786885]","[0.7219512195121952, 0.8896551724137932, 0.8227848101265823, 0.8161764705882353, 0.746031746031746]","[[[56, 0], [57, 74]], [[25, 31], [1, 129]], [[0, 56], [0, 130]], [[25, 31], [19, 111]], [[28, 28], [36, 94]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
