,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9156816049649997,0.9043930768788455,52.6,14.4,3.4,115.8,0.8893951849677041,0.11060481503229594,0.06071428571428571,0.9392857142857143,0.9717259410004486,0.9262943921978405,0.9139784946236559,0.9144385026737968,53.0,14.0,3.0,117.0,0.8931297709923665,0.10687022900763359,0.05357142857142857,0.9464285714285714,0.9770992366412213,0.9359999999999999,0.010200732306304767,0.06890922726285896,2.0736441353327724,13.049904214207858,2.0736441353327724,13.065221008463652,0.10039085105742354,0.10039085105742354,0.03702935955951379,0.037029359559513766,0.01784246751502616,0.055488473804780704,"[0.9139784946236559, 0.912751677852349, 0.9033557046979865, 0.9167785234899329, 0.9315436241610738]","[0.9144385026737968, 0.967741935483871, 0.9731182795698925, 0.8387096774193549, 0.8279569892473119]","[54, 51, 53, 55, 50]","[14, 1, 2, 29, 26]","[2, 5, 3, 1, 6]","[117, 129, 128, 101, 104]","[0.8931297709923665, 0.9923076923076923, 0.9846153846153847, 0.7769230769230769, 0.8]","[0.10687022900763359, 0.007692307692307693, 0.015384615384615385, 0.2230769230769231, 0.2]","[0.03571428571428571, 0.08928571428571429, 0.05357142857142857, 0.017857142857142856, 0.10714285714285714]","[0.9642857142857143, 0.9107142857142857, 0.9464285714285714, 0.9821428571428571, 0.8928571428571429]","[0.9831932773109243, 0.9626865671641791, 0.9770992366412213, 0.9901960784313726, 0.9454545454545454]","[0.9359999999999999, 0.9772727272727273, 0.9808429118773947, 0.8706896551724139, 0.8666666666666666]","[[[54, 2], [14, 117]], [[51, 5], [1, 129]], [[53, 3], [2, 128]], [[55, 1], [29, 101]], [[50, 6], [26, 104]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,1.0,0.9678109366913921,53.4,3.4,2.6,126.8,0.9739870816206693,0.026012918379330598,0.04642857142857142,0.9535714285714285,0.9803530464522551,0.9766289557983358,1.0,0.9731182795698925,53.0,0.0,3.0,130.0,1.0,0.0,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9811320754716981,0.0,0.023928240782585687,2.073644135332772,5.272570530585627,2.073644135332772,4.868264577855235,0.040271111626128085,0.040271111626128064,0.03702935955951379,0.03702935955951378,0.015574589164822544,0.01789735532206671,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9358288770053476, 0.9731182795698925, 0.9838709677419355, 0.9946236559139785, 0.9516129032258065]","[56, 51, 53, 55, 52]","[12, 0, 0, 0, 5]","[0, 5, 3, 1, 4]","[119, 130, 130, 130, 125]","[0.9083969465648855, 1.0, 1.0, 1.0, 0.9615384615384616]","[0.0916030534351145, 0.0, 0.0, 0.0, 0.038461538461538464]","[0.0, 0.08928571428571429, 0.05357142857142857, 0.017857142857142856, 0.07142857142857142]","[1.0, 0.9107142857142857, 0.9464285714285714, 0.9821428571428571, 0.9285714285714286]","[1.0, 0.9629629629629629, 0.9774436090225563, 0.9923664122137404, 0.9689922480620154]","[0.9520000000000001, 0.9811320754716981, 0.988593155893536, 0.9961685823754789, 0.9652509652509652]","[[[56, 0], [12, 119]], [[51, 5], [0, 130]], [[53, 3], [0, 130]], [[55, 1], [0, 130]], [[52, 4], [5, 125]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9586461716100165,0.9495371168995458,50.0,3.4,6.0,126.8,0.9738931297709923,0.026106870229007633,0.10714285714285712,0.8928571428571429,0.9549965630125705,0.9642284146719391,0.956989247311828,0.956989247311828,49.0,3.0,7.0,127.0,0.9769230769230769,0.023076923076923078,0.125,0.875,0.9485294117647058,0.9699248120300752,0.005961632267884108,0.029533620412461156,2.9154759474226504,3.507135583350036,2.9154759474226504,3.492849839314596,0.026968122935665417,0.026968122935665417,0.052062070489690186,0.05206207048969019,0.02167579268010189,0.02113997474903684,"[0.956989247311828, 0.9543624161073826, 0.9557046979865772, 0.9570469798657718, 0.9691275167785235]","[0.93048128342246, 0.956989247311828, 0.978494623655914, 0.9731182795698925, 0.9086021505376344]","[47, 49, 52, 54, 48]","[4, 1, 0, 3, 9]","[9, 7, 4, 2, 8]","[127, 129, 130, 127, 121]","[0.9694656488549618, 0.9923076923076923, 1.0, 0.9769230769230769, 0.9307692307692308]","[0.030534351145038167, 0.007692307692307693, 0.0, 0.023076923076923078, 0.06923076923076923]","[0.16071428571428573, 0.125, 0.07142857142857142, 0.03571428571428571, 0.14285714285714285]","[0.8392857142857143, 0.875, 0.9285714285714286, 0.9642857142857143, 0.8571428571428571]","[0.9338235294117647, 0.9485294117647058, 0.9701492537313433, 0.9844961240310077, 0.937984496124031]","[0.951310861423221, 0.9699248120300752, 0.9848484848484849, 0.9806949806949806, 0.9343629343629343]","[[[47, 9], [4, 127]], [[49, 7], [1, 129]], [[52, 4], [0, 130]], [[54, 2], [3, 127]], [[48, 8], [9, 121]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9683131269394532,0.9302282789948825,50.6,7.6,5.4,122.6,0.9417381092190252,0.05826189078097475,0.09642857142857142,0.9035714285714287,0.958344099602366,0.9491158946597,0.9663978494623656,0.9408602150537635,49.0,9.0,7.0,121.0,0.9307692307692308,0.06923076923076923,0.125,0.875,0.948905109489051,0.9565217391304349,0.005900507983387231,0.03316525626057631,2.3021728866442674,7.127411872482185,2.3021728866442674,6.8044103344816,0.054497947650390684,0.05449794765039068,0.04111023011864764,0.041110230118647645,0.016460155136429018,0.025460235889870286,"[0.9663978494623656, 0.9651006711409396, 0.963758389261745, 0.9677852348993289, 0.978523489932886]","[0.8877005347593583, 0.9623655913978495, 0.956989247311828, 0.9408602150537635, 0.9032258064516129]","[52, 49, 49, 54, 49]","[17, 0, 1, 9, 11]","[4, 7, 7, 2, 7]","[114, 130, 129, 121, 119]","[0.8702290076335878, 1.0, 0.9923076923076923, 0.9307692307692308, 0.9153846153846154]","[0.1297709923664122, 0.0, 0.007692307692307693, 0.06923076923076923, 0.08461538461538462]","[0.07142857142857142, 0.125, 0.125, 0.03571428571428571, 0.125]","[0.9285714285714286, 0.875, 0.875, 0.9642857142857143, 0.875]","[0.9661016949152542, 0.948905109489051, 0.9485294117647058, 0.983739837398374, 0.9444444444444444]","[0.9156626506024097, 0.9737827715355805, 0.9699248120300752, 0.9565217391304349, 0.9296874999999999]","[[[52, 4], [17, 114]], [[49, 7], [0, 130]], [[49, 7], [1, 129]], [[54, 2], [9, 121]], [[49, 7], [11, 119]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.8786786268759703,44.8,11.4,11.2,118.8,0.9125543159130945,0.08744568408690546,0.19999999999999998,0.8,0.9152904662043879,0.9125278324891933,1.0,0.8817204301075269,45.0,14.0,11.0,116.0,0.8923076923076924,0.1076923076923077,0.19642857142857142,0.8035714285714286,0.9090909090909091,0.9105691056910569,0.0,0.0534943747065568,5.718391382198319,8.933084573650918,5.718391382198319,8.67179335547152,0.06838616157799329,0.06838616157799327,0.10211413182496999,0.10211413182496999,0.04050757701316707,0.03951824327523815,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8288770053475936, 0.9139784946236559, 0.946236559139785, 0.8817204301075269, 0.8225806451612904]","[45, 42, 48, 52, 37]","[21, 2, 2, 18, 14]","[11, 14, 8, 4, 19]","[110, 128, 128, 112, 116]","[0.8396946564885496, 0.9846153846153847, 0.9846153846153847, 0.8615384615384616, 0.8923076923076924]","[0.16030534351145037, 0.015384615384615385, 0.015384615384615385, 0.13846153846153847, 0.1076923076923077]","[0.19642857142857142, 0.25, 0.14285714285714285, 0.07142857142857142, 0.3392857142857143]","[0.8035714285714286, 0.75, 0.8571428571428571, 0.9285714285714286, 0.6607142857142857]","[0.9090909090909091, 0.9014084507042254, 0.9411764705882353, 0.9655172413793104, 0.8592592592592593]","[0.873015873015873, 0.9411764705882353, 0.962406015037594, 0.9105691056910569, 0.8754716981132076]","[[[45, 11], [21, 110]], [[42, 14], [2, 128]], [[48, 8], [2, 128]], [[52, 4], [18, 112]], [[37, 19], [14, 116]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9430740037950663,50.8,5.4,5.2,124.8,0.9585672342924252,0.04143276570757487,0.09285714285714286,0.9071428571428573,0.9603561994519714,0.9590881825358032,1.0,0.956989247311828,52.0,6.0,4.0,124.0,0.9538461538461539,0.046153846153846156,0.07142857142857142,0.9285714285714286,0.9701492537313433,0.96875,0.0,0.0396134517052937,3.8340579025361627,5.366563145999495,3.8340579025361627,5.215361924162119,0.041193208981589235,0.041193208981589235,0.06846531968814576,0.06846531968814576,0.02926984898543731,0.02859808245350276,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9411764705882353, 0.9623655913978495, 0.978494623655914, 0.956989247311828, 0.8763440860215054]","[54, 49, 52, 54, 45]","[9, 0, 0, 6, 12]","[2, 7, 4, 2, 11]","[122, 130, 130, 124, 118]","[0.9312977099236641, 1.0, 1.0, 0.9538461538461539, 0.9076923076923077]","[0.06870229007633588, 0.0, 0.0, 0.046153846153846156, 0.09230769230769231]","[0.03571428571428571, 0.125, 0.07142857142857142, 0.03571428571428571, 0.19642857142857142]","[0.9642857142857143, 0.875, 0.9285714285714286, 0.9642857142857143, 0.8035714285714286]","[0.9838709677419355, 0.948905109489051, 0.9701492537313433, 0.9841269841269841, 0.9147286821705426]","[0.9568627450980393, 0.9737827715355805, 0.9848484848484849, 0.96875, 0.9111969111969112]","[[[54, 2], [9, 122]], [[49, 7], [0, 130]], [[52, 4], [0, 130]], [[54, 2], [6, 124]], [[45, 11], [12, 118]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.9592145362543845,53.2,4.8,2.8,125.4,0.9632295948326484,0.036770405167351736,0.05,0.95,0.9786832264957266,0.9703575038670225,1.0,0.9623655913978495,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.9846153846153847,0.9735849056603774,0.0,0.02584745065103284,2.588435821108957,5.215361924162119,2.588435821108957,4.8270073544588685,0.03981844845629403,0.03981844845629399,0.04622206823408852,0.0462220682340885,0.019525761017361806,0.0192958630956726,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.93048128342246, 0.9623655913978495, 0.978494623655914, 0.989247311827957, 0.9354838709677419]","[56, 50, 54, 55, 51]","[13, 1, 2, 1, 7]","[0, 6, 2, 1, 5]","[118, 129, 128, 129, 123]","[0.9007633587786259, 0.9923076923076923, 0.9846153846153847, 0.9923076923076923, 0.9461538461538461]","[0.09923664122137404, 0.007692307692307693, 0.015384615384615385, 0.007692307692307693, 0.05384615384615385]","[0.0, 0.10714285714285714, 0.03571428571428571, 0.017857142857142856, 0.08928571428571429]","[1.0, 0.8928571428571429, 0.9642857142857143, 0.9821428571428571, 0.9107142857142857]","[1.0, 0.9555555555555556, 0.9846153846153847, 0.9923076923076923, 0.9609375]","[0.9477911646586346, 0.9735849056603774, 0.9846153846153847, 0.9923076923076923, 0.9534883720930233]","[[[56, 0], [13, 118]], [[50, 6], [1, 129]], [[54, 2], [2, 128]], [[55, 1], [1, 129]], [[51, 5], [7, 123]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9548847104824334,51.6,4.0,4.4,126.2,0.9693129770992368,0.03068702290076336,0.07857142857142858,0.9214285714285714,0.9666530748087349,0.9676925470332378,1.0,0.967741935483871,51.0,3.0,5.0,127.0,0.9769230769230769,0.023076923076923078,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9774436090225563,0.0,0.03283926340988378,3.4351128074635335,4.415880433163924,3.4351128074635335,4.266145801540309,0.033898925984048395,0.03389892598404842,0.06134130013327739,0.061341300133277356,0.026222856899725797,0.023687644870791964,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9572192513368984, 0.967741935483871, 0.9731182795698925, 0.978494623655914, 0.8978494623655914]","[55, 50, 51, 55, 47]","[7, 0, 0, 3, 10]","[1, 6, 5, 1, 9]","[124, 130, 130, 127, 120]","[0.9465648854961832, 1.0, 1.0, 0.9769230769230769, 0.9230769230769231]","[0.05343511450381679, 0.0, 0.0, 0.023076923076923078, 0.07692307692307693]","[0.017857142857142856, 0.10714285714285714, 0.08928571428571429, 0.017857142857142856, 0.16071428571428573]","[0.9821428571428571, 0.8928571428571429, 0.9107142857142857, 0.9821428571428571, 0.8392857142857143]","[0.992, 0.9558823529411765, 0.9629629629629629, 0.9921875, 0.9302325581395349]","[0.96875, 0.9774436090225563, 0.9811320754716981, 0.9844961240310077, 0.9266409266409267]","[[[55, 1], [7, 124]], [[50, 6], [0, 130]], [[51, 5], [0, 130]], [[55, 1], [3, 127]], [[47, 9], [10, 120]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9473693289632568,51.0,4.8,5.0,125.4,0.9631826189078098,0.03681738109219025,0.08928571428571429,0.9107142857142858,0.9620272874172471,0.9623161067779582,1.0,0.9731182795698925,52.0,2.0,4.0,128.0,0.9846153846153847,0.015384615384615385,0.07142857142857142,0.9285714285714286,0.9699248120300752,0.9809885931558935,0.0,0.04738972824941079,4.743416490252569,5.357238094391549,4.743416490252569,5.176871642217914,0.04110649266427519,0.04110649266427518,0.0847038658973673,0.08470386589736728,0.036115509524432404,0.03383265156737313,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.946524064171123, 0.9731182795698925, 0.9731182795698925, 0.978494623655914, 0.8655913978494624]","[55, 51, 52, 54, 43]","[9, 0, 1, 2, 12]","[1, 5, 4, 2, 13]","[122, 130, 129, 128, 118]","[0.9312977099236641, 1.0, 0.9923076923076923, 0.9846153846153847, 0.9076923076923077]","[0.06870229007633588, 0.0, 0.007692307692307693, 0.015384615384615385, 0.09230769230769231]","[0.017857142857142856, 0.08928571428571429, 0.07142857142857142, 0.03571428571428571, 0.23214285714285715]","[0.9821428571428571, 0.9107142857142857, 0.9285714285714286, 0.9642857142857143, 0.7678571428571429]","[0.991869918699187, 0.9629629629629629, 0.9699248120300752, 0.9846153846153847, 0.9007633587786259]","[0.9606299212598425, 0.9811320754716981, 0.9809885931558935, 0.9846153846153847, 0.9042145593869731]","[[[55, 1], [9, 122]], [[51, 5], [0, 130]], [[52, 4], [1, 129]], [[54, 2], [2, 128]], [[43, 13], [12, 118]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.964590880340406,53.4,4.0,2.6,126.2,0.9693834409864944,0.03061655901350558,0.04642857142857142,0.9535714285714285,0.9802553842414268,0.9741766843958228,1.0,0.9731182795698925,53.0,0.0,3.0,130.0,1.0,0.0,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9811320754716981,0.0,0.027717390720149192,2.073644135332772,5.873670062235365,2.073644135332772,5.495452665613635,0.04489000672695997,0.04489000672695994,0.03702935955951379,0.03702935955951378,0.01566490724227375,0.020762418002366063,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.93048128342246, 0.9731182795698925, 0.9838709677419355, 0.9946236559139785, 0.9408602150537635]","[56, 51, 53, 55, 52]","[13, 0, 0, 0, 7]","[0, 5, 3, 1, 4]","[118, 130, 130, 130, 123]","[0.9007633587786259, 1.0, 1.0, 1.0, 0.9461538461538461]","[0.09923664122137404, 0.0, 0.0, 0.0, 0.05384615384615385]","[0.0, 0.08928571428571429, 0.05357142857142857, 0.017857142857142856, 0.07142857142857142]","[1.0, 0.9107142857142857, 0.9464285714285714, 0.9821428571428571, 0.9285714285714286]","[1.0, 0.9629629629629629, 0.9774436090225563, 0.9923664122137404, 0.968503937007874]","[0.9477911646586346, 0.9811320754716981, 0.988593155893536, 0.9961685823754789, 0.9571984435797665]","[[[56, 0], [13, 118]], [[51, 5], [0, 130]], [[53, 3], [0, 130]], [[55, 1], [0, 130]], [[52, 4], [7, 123]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
