,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9653608284621491,0.9560174803059054,53.8,6.0,2.2,124.2,0.9540575455079272,0.045942454492072814,0.03928571428571428,0.9607142857142857,0.9830023579952183,0.9673922327917606,0.9677852348993289,0.9731182795698925,54.0,3.0,2.0,127.0,0.9769230769230769,0.023076923076923078,0.03571428571428571,0.9642857142857143,0.9844961240310077,0.9806949806949806,0.005225755491208063,0.037722705680681146,1.7888543819998317,7.648529270389178,1.7888543819998317,7.259476565152614,0.058420708678800996,0.058420708678801,0.031943828249996996,0.03194382824999697,0.013866413710243832,0.02890365624189571,"[0.9690860215053764, 0.9677852348993289, 0.959731543624161, 0.959731543624161, 0.9704697986577181]","[0.9037433155080213, 0.978494623655914, 0.9946236559139785, 0.9731182795698925, 0.9301075268817204]","[56, 52, 55, 54, 52]","[18, 0, 0, 3, 9]","[0, 4, 1, 2, 4]","[113, 130, 130, 127, 121]","[0.8625954198473282, 1.0, 1.0, 0.9769230769230769, 0.9307692307692308]","[0.13740458015267176, 0.0, 0.0, 0.023076923076923078, 0.06923076923076923]","[0.0, 0.07142857142857142, 0.017857142857142856, 0.03571428571428571, 0.07142857142857142]","[1.0, 0.9285714285714286, 0.9821428571428571, 0.9642857142857143, 0.9285714285714286]","[1.0, 0.9701492537313433, 0.9923664122137404, 0.9844961240310077, 0.968]","[0.9262295081967213, 0.9848484848484849, 0.9961685823754789, 0.9806949806949806, 0.9490196078431372]","[[[56, 0], [18, 113]], [[52, 4], [0, 130]], [[55, 1], [0, 130]], [[54, 2], [3, 127]], [[52, 4], [9, 121]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,0.9978519881648265,0.9774538554424701,54.4,2.6,1.6,127.6,0.9800704638872577,0.01992953611274222,0.02857142857142857,0.9714285714285715,0.9881461675579324,0.9837409074093146,0.9986559139784946,0.9679144385026738,56.0,0.0,0.0,130.0,1.0,0.0,0.0,1.0,1.0,0.9774436090225563,0.0020354929698034765,0.016281829017643537,2.60768096208106,3.5777087639996634,2.6076809620810595,3.361547262794322,0.027437456539087666,0.027437456539087666,0.0465657314657332,0.04656573146573318,0.019192241111777586,0.011833276516124185,"[0.9986559139784946, 0.9973154362416108, 0.9986577181208054, 0.9946308724832215, 1.0]","[0.9679144385026738, 0.967741935483871, 0.989247311827957, 1.0, 0.9623655913978495]","[56, 50, 54, 56, 56]","[6, 0, 0, 0, 7]","[0, 6, 2, 0, 0]","[125, 130, 130, 130, 123]","[0.9541984732824428, 1.0, 1.0, 1.0, 0.9461538461538461]","[0.04580152671755725, 0.0, 0.0, 0.0, 0.05384615384615385]","[0.0, 0.10714285714285714, 0.03571428571428571, 0.0, 0.0]","[1.0, 0.8928571428571429, 0.9642857142857143, 1.0, 1.0]","[1.0, 0.9558823529411765, 0.9848484848484849, 1.0, 1.0]","[0.9765625, 0.9774436090225563, 0.9923664122137404, 1.0, 0.9723320158102766]","[[[56, 0], [6, 125]], [[50, 6], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [0, 130]], [[56, 0], [7, 123]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9522006927906475,0.9366051405899602,45.0,0.8,11.0,129.4,0.9938578978273634,0.006142102172636524,0.19642857142857145,0.8035714285714285,0.9228225736842752,0.9567390210831027,0.9475806451612904,0.956989247311828,48.0,0.0,8.0,130.0,1.0,0.0,0.14285714285714285,0.8571428571428571,0.9420289855072463,0.9701492537313432,0.007871503336028967,0.03677264092370645,6.041522986797286,1.3038404810405297,6.041522986797286,1.3416407864998738,0.010027324489778233,0.01002732448977822,0.10788433904995154,0.10788433904995152,0.0398295613642985,0.024384826444005248,"[0.9475806451612904, 0.9570469798657718, 0.9463087248322147, 0.9463087248322147, 0.963758389261745]","[0.9572192513368984, 0.9086021505376344, 0.956989247311828, 0.9731182795698925, 0.8870967741935484]","[49, 39, 48, 51, 38]","[1, 0, 0, 0, 3]","[7, 17, 8, 5, 18]","[130, 130, 130, 130, 127]","[0.9923664122137404, 1.0, 1.0, 1.0, 0.9769230769230769]","[0.007633587786259542, 0.0, 0.0, 0.0, 0.023076923076923078]","[0.125, 0.30357142857142855, 0.14285714285714285, 0.08928571428571429, 0.32142857142857145]","[0.875, 0.6964285714285714, 0.8571428571428571, 0.9107142857142857, 0.6785714285714286]","[0.948905109489051, 0.8843537414965986, 0.9420289855072463, 0.9629629629629629, 0.8758620689655172]","[0.9701492537313432, 0.9386281588447652, 0.9701492537313433, 0.9811320754716981, 0.9236363636363637]","[[[49, 7], [1, 130]], [[39, 17], [0, 130]], [[48, 8], [0, 130]], [[51, 5], [0, 130]], [[38, 18], [3, 127]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9873793028794111,0.9645678799378988,52.8,3.4,3.2,126.8,0.9739518496770405,0.026048150322959485,0.05714285714285714,0.9428571428571428,0.9761823825450404,0.9745684353001846,0.9879032258064516,0.9518716577540107,54.0,1.0,2.0,129.0,0.9923076923076923,0.007692307692307693,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.966542750929368,0.00398131076262416,0.022963163819713583,3.563705936241092,4.277849927241487,3.5637059362410923,3.96232255123179,0.03273398030774877,0.03273398030774875,0.06363760600430522,0.06363760600430521,0.025674291988463337,0.01658635462207569,"[0.9879032258064516, 0.9825503355704698, 0.9852348993288591, 0.9879194630872483, 0.9932885906040269]","[0.9518716577540107, 0.9516129032258065, 0.989247311827957, 0.989247311827957, 0.9408602150537635]","[56, 47, 54, 55, 52]","[9, 0, 0, 1, 7]","[0, 9, 2, 1, 4]","[122, 130, 130, 129, 123]","[0.9312977099236641, 1.0, 1.0, 0.9923076923076923, 0.9461538461538461]","[0.06870229007633588, 0.0, 0.0, 0.007692307692307693, 0.05384615384615385]","[0.0, 0.16071428571428573, 0.03571428571428571, 0.017857142857142856, 0.07142857142857142]","[1.0, 0.8392857142857143, 0.9642857142857143, 0.9821428571428571, 0.9285714285714286]","[1.0, 0.935251798561151, 0.9848484848484849, 0.9923076923076923, 0.968503937007874]","[0.9644268774703557, 0.966542750929368, 0.9923664122137404, 0.9923076923076923, 0.9571984435797665]","[[[56, 0], [9, 122]], [[47, 9], [0, 130]], [[54, 2], [0, 130]], [[55, 1], [1, 129]], [[52, 4], [7, 123]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.9312517969064459,49.4,6.2,6.6,124.0,0.9523546682325309,0.04764533176746917,0.11785714285714284,0.8821428571428571,0.9498458922839704,0.950836942762586,1.0,0.9358288770053476,48.0,7.0,8.0,123.0,0.9461538461538461,0.05384615384615385,0.14285714285714285,0.8571428571428571,0.9411764705882353,0.9548872180451129,0.0,0.013943807288573178,2.1908902300206643,3.1937438845342623,2.1908902300206643,3.391164991562634,0.02460790061178518,0.024607900611785187,0.03912303982179758,0.039123039821797594,0.015553576051799614,0.010409836753387643,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9358288770053476, 0.9193548387096774, 0.946236559139785, 0.9408602150537635, 0.9139784946236559]","[48, 48, 48, 53, 50]","[4, 7, 2, 8, 10]","[8, 8, 8, 3, 6]","[127, 123, 128, 122, 120]","[0.9694656488549618, 0.9461538461538461, 0.9846153846153847, 0.9384615384615385, 0.9230769230769231]","[0.030534351145038167, 0.05384615384615385, 0.015384615384615385, 0.06153846153846154, 0.07692307692307693]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.05357142857142857, 0.10714285714285714]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.9464285714285714, 0.8928571428571429]","[0.9407407407407408, 0.9389312977099237, 0.9411764705882353, 0.976, 0.9523809523809523]","[0.9548872180451129, 0.9425287356321839, 0.962406015037594, 0.9568627450980391, 0.9375]","[[[48, 8], [4, 127]], [[48, 8], [7, 123]], [[48, 8], [2, 128]], [[53, 3], [8, 122]], [[50, 6], [10, 120]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9720660111551952,52.6,1.8,3.4,128.4,0.9862008220786846,0.013799177921315325,0.06071428571428572,0.9392857142857144,0.9747882032640274,0.9802045329277644,1.0,0.9786096256684492,54.0,0.0,2.0,130.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9844961240310077,0.0,0.01916945698537262,3.4351128074635335,2.489979919597747,3.4351128074635335,2.3021728866442674,0.019102028584395917,0.019102028584395914,0.06134130013327739,0.06134130013327738,0.024671712644780557,0.01345821165094999,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9786096256684492, 0.9516129032258065, 0.989247311827957, 0.989247311827957, 0.9516129032258065]","[56, 47, 54, 54, 52]","[4, 0, 0, 0, 5]","[0, 9, 2, 2, 4]","[127, 130, 130, 130, 125]","[0.9694656488549618, 1.0, 1.0, 1.0, 0.9615384615384616]","[0.030534351145038167, 0.0, 0.0, 0.0, 0.038461538461538464]","[0.0, 0.16071428571428573, 0.03571428571428571, 0.03571428571428571, 0.07142857142857142]","[1.0, 0.8392857142857143, 0.9642857142857143, 0.9642857142857143, 0.9285714285714286]","[1.0, 0.935251798561151, 0.9848484848484849, 0.9848484848484849, 0.9689922480620154]","[0.9844961240310077, 0.966542750929368, 0.9923664122137404, 0.9923664122137404, 0.9652509652509652]","[[[56, 0], [4, 127]], [[47, 9], [0, 130]], [[54, 2], [0, 130]], [[54, 2], [0, 130]], [[52, 4], [5, 125]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.9731642803749064,54.0,3.0,2.0,127.2,0.977017028772754,0.022982971227246036,0.03571428571428571,0.9642857142857142,0.9849998329156225,0.9806462036339261,1.0,0.9623655913978495,55.0,1.0,1.0,129.0,0.9923076923076923,0.007692307692307693,0.017857142857142856,0.9821428571428571,0.992,0.9735849056603774,0.0,0.01818142128961094,2.5495097567963922,3.7416573867739413,2.5495097567963922,3.420526275297414,0.02862538506141844,0.028625385061418446,0.045526959942792725,0.045526959942792704,0.01886182886881849,0.01323427785182864,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9572192513368984, 0.9623655913978495, 0.9838709677419355, 1.0, 0.9623655913978495]","[56, 50, 53, 56, 55]","[8, 1, 0, 0, 6]","[0, 6, 3, 0, 1]","[123, 129, 130, 130, 124]","[0.9389312977099237, 0.9923076923076923, 1.0, 1.0, 0.9538461538461539]","[0.061068702290076333, 0.007692307692307693, 0.0, 0.0, 0.046153846153846156]","[0.0, 0.10714285714285714, 0.05357142857142857, 0.0, 0.017857142857142856]","[1.0, 0.8928571428571429, 0.9464285714285714, 1.0, 0.9821428571428571]","[1.0, 0.9555555555555556, 0.9774436090225563, 1.0, 0.992]","[0.9685039370078741, 0.9735849056603774, 0.988593155893536, 1.0, 0.9725490196078431]","[[[56, 0], [8, 123]], [[50, 6], [1, 129]], [[53, 3], [0, 130]], [[56, 0], [0, 130]], [[55, 1], [6, 124]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9753090679086884,53.8,2.4,2.2,127.8,0.981620669406929,0.018379330593071053,0.03928571428571428,0.9607142857142857,0.9835155860935341,0.9822696860876665,1.0,0.967741935483871,54.0,0.0,2.0,130.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.984251968503937,0.9774436090225563,0.0,0.016356249419660598,2.4899799195977463,3.3615472627943217,2.4899799195977463,3.03315017762062,0.025717710034222643,0.025717710034222657,0.04446392713567405,0.04446392713567403,0.01833356582021592,0.011858715058155932,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9625668449197861, 0.967741935483871, 0.9838709677419355, 1.0, 0.9623655913978495]","[56, 50, 53, 56, 54]","[7, 0, 0, 0, 5]","[0, 6, 3, 0, 2]","[124, 130, 130, 130, 125]","[0.9465648854961832, 1.0, 1.0, 1.0, 0.9615384615384616]","[0.05343511450381679, 0.0, 0.0, 0.0, 0.038461538461538464]","[0.0, 0.10714285714285714, 0.05357142857142857, 0.0, 0.03571428571428571]","[1.0, 0.8928571428571429, 0.9464285714285714, 1.0, 0.9642857142857143]","[1.0, 0.9558823529411765, 0.9774436090225563, 1.0, 0.984251968503937]","[0.9725490196078431, 0.9774436090225563, 0.988593155893536, 1.0, 0.9727626459143969]","[[[56, 0], [7, 124]], [[50, 6], [0, 130]], [[53, 3], [0, 130]], [[56, 0], [0, 130]], [[54, 2], [5, 125]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9752975677074349,53.2,1.8,2.8,128.4,0.9862125660598944,0.013787433940105698,0.049999999999999996,0.95,0.9792449538024913,0.9824640626642358,1.0,0.9732620320855615,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9808429118773947,0.0,0.01237119483863786,3.1144823004794873,2.04939015319192,3.1144823004794877,1.6733200530681511,0.015650061262375822,0.015650061262375843,0.055615755365705136,0.05561575536570515,0.022477125730018813,0.008536103807519605,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9732620320855615, 0.956989247311828, 0.989247311827957, 0.9838709677419355, 0.9731182795698925]","[56, 48, 54, 55, 53]","[5, 0, 0, 2, 2]","[0, 8, 2, 1, 3]","[126, 130, 130, 128, 128]","[0.9618320610687023, 1.0, 1.0, 0.9846153846153847, 0.9846153846153847]","[0.03816793893129771, 0.0, 0.0, 0.015384615384615385, 0.015384615384615385]","[0.0, 0.14285714285714285, 0.03571428571428571, 0.017857142857142856, 0.05357142857142857]","[1.0, 0.8571428571428571, 0.9642857142857143, 0.9821428571428571, 0.9464285714285714]","[1.0, 0.9420289855072463, 0.9848484848484849, 0.9922480620155039, 0.9770992366412213]","[0.9805447470817121, 0.9701492537313433, 0.9923664122137404, 0.9884169884169884, 0.9808429118773947]","[[[56, 0], [5, 126]], [[48, 8], [0, 130]], [[54, 2], [0, 130]], [[55, 1], [2, 128]], [[53, 3], [2, 128]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9774538554424701,54.2,2.4,1.8,127.8,0.9816089254257193,0.01839107457428068,0.03214285714285714,0.9678571428571429,0.9865461675579322,0.983784308168828,1.0,0.9679144385026738,55.0,0.0,1.0,130.0,1.0,0.0,0.017857142857142856,0.9821428571428571,0.992,0.9774436090225563,0.0,0.016281829017643537,2.489979919597747,3.2863353450309964,2.489979919597747,3.03315017762062,0.025183324068062573,0.025183324068062597,0.04446392713567405,0.04446392713567402,0.018268190636303718,0.011781254807327607,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9679144385026738, 0.967741935483871, 0.989247311827957, 1.0, 0.9623655913978495]","[56, 50, 54, 56, 55]","[6, 0, 0, 0, 6]","[0, 6, 2, 0, 1]","[125, 130, 130, 130, 124]","[0.9541984732824428, 1.0, 1.0, 1.0, 0.9538461538461539]","[0.04580152671755725, 0.0, 0.0, 0.0, 0.046153846153846156]","[0.0, 0.10714285714285714, 0.03571428571428571, 0.0, 0.017857142857142856]","[1.0, 0.8928571428571429, 0.9642857142857143, 1.0, 0.9821428571428571]","[1.0, 0.9558823529411765, 0.9848484848484849, 1.0, 0.992]","[0.9765625, 0.9774436090225563, 0.9923664122137404, 1.0, 0.9725490196078431]","[[[56, 0], [6, 125]], [[50, 6], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [0, 130]], [[55, 1], [6, 124]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
