,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9540860215053764,0.9485480995917428,53.8,7.4,2.2,122.8,0.9434057545507928,0.056594245449207284,0.039285714285714285,0.9607142857142857,0.9832851809554339,0.9606865616193,0.9543624161073826,0.9623655913978495,55.0,1.0,1.0,129.0,0.9923076923076923,0.007692307692307693,0.017857142857142856,0.9821428571428571,0.9923664122137404,0.9735849056603774,0.012230228322067986,0.05948747837954384,2.6832815729997477,11.844830095868831,2.6832815729997477,11.41052146047673,0.09039938022746692,0.0903993802274669,0.04791574237499549,0.04791574237499547,0.020178307721454715,0.04782690395150286,"[0.9704301075268817, 0.9610738255033557, 0.9436241610738255, 0.9409395973154362, 0.9543624161073826]","[0.8502673796791443, 0.9623655913978495, 0.9946236559139785, 0.9946236559139785, 0.9408602150537635]","[56, 50, 55, 56, 52]","[28, 1, 0, 1, 7]","[0, 6, 1, 0, 4]","[103, 129, 130, 129, 123]","[0.7862595419847328, 0.9923076923076923, 1.0, 0.9923076923076923, 0.9461538461538461]","[0.21374045801526717, 0.007692307692307693, 0.0, 0.007692307692307693, 0.05384615384615385]","[0.0, 0.10714285714285714, 0.017857142857142856, 0.0, 0.07142857142857142]","[1.0, 0.8928571428571429, 0.9821428571428571, 1.0, 0.9285714285714286]","[1.0, 0.9555555555555556, 0.9923664122137404, 1.0, 0.968503937007874]","[0.8803418803418803, 0.9735849056603774, 0.9961685823754789, 0.9961389961389961, 0.9571984435797665]","[[[56, 0], [28, 103]], [[50, 6], [1, 129]], [[55, 1], [0, 130]], [[56, 0], [1, 129]], [[52, 4], [7, 123]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,1.0,0.9806854119947099,54.8,2.4,1.2,127.8,0.981620669406929,0.018379330593071053,0.02142857142857143,0.9785714285714284,0.991005291005291,0.9860487190159082,1.0,0.9731182795698925,56.0,0.0,0.0,130.0,1.0,0.0,0.0,1.0,1.0,0.9811320754716981,0.0,0.01802209872488543,2.1679483388678804,3.3615472627943217,2.16794833886788,3.03315017762062,0.025717710034222643,0.025717710034222657,0.038713363194069296,0.038713363194069296,0.016048413638204365,0.013092747049997534,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9625668449197861, 0.9731182795698925, 1.0, 1.0, 0.967741935483871]","[56, 51, 56, 56, 55]","[7, 0, 0, 0, 5]","[0, 5, 0, 0, 1]","[124, 130, 130, 130, 125]","[0.9465648854961832, 1.0, 1.0, 1.0, 0.9615384615384616]","[0.05343511450381679, 0.0, 0.0, 0.0, 0.038461538461538464]","[0.0, 0.08928571428571429, 0.0, 0.0, 0.017857142857142856]","[1.0, 0.9107142857142857, 1.0, 1.0, 0.9821428571428571]","[1.0, 0.9629629629629629, 1.0, 1.0, 0.9920634920634921]","[0.9725490196078431, 0.9811320754716981, 1.0, 1.0, 0.9765625]","[[[56, 0], [7, 124]], [[51, 5], [0, 130]], [[56, 0], [0, 130]], [[56, 0], [0, 130]], [[55, 1], [5, 125]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9844259219167208,0.9774423552412166,53.0,1.2,3.0,129.0,0.9908162066940693,0.00918379330593071,0.05357142857142857,0.9464285714285715,0.9778566970786651,0.9840791640788685,0.9865591397849462,0.9786096256684492,54.0,0.0,2.0,130.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9844961240310077,0.0036239829544030765,0.01799448032931534,3.4641016151377544,1.7888543819998317,3.4641016151377544,1.4142135623730951,0.013668601729426742,0.013668601729426728,0.06185895741317418,0.06185895741317421,0.025258094329982873,0.012557404588397054,"[0.9865591397849462, 0.9879194630872483, 0.9798657718120806, 0.9812080536912752, 0.9865771812080537]","[0.9786096256684492, 0.956989247311828, 0.989247311827957, 1.0, 0.9623655913978495]","[56, 48, 54, 56, 51]","[4, 0, 0, 0, 2]","[0, 8, 2, 0, 5]","[127, 130, 130, 130, 128]","[0.9694656488549618, 1.0, 1.0, 1.0, 0.9846153846153847]","[0.030534351145038167, 0.0, 0.0, 0.0, 0.015384615384615385]","[0.0, 0.14285714285714285, 0.03571428571428571, 0.0, 0.08928571428571429]","[1.0, 0.8571428571428571, 0.9642857142857143, 1.0, 0.9107142857142857]","[1.0, 0.9420289855072463, 0.9848484848484849, 1.0, 0.9624060150375939]","[0.9844961240310077, 0.9701492537313433, 0.9923664122137404, 1.0, 0.973384030418251]","[[[56, 0], [4, 127]], [[48, 8], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [0, 130]], [[51, 5], [2, 128]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9903334054990257,0.965694899660744,54.2,4.6,1.8,125.6,0.964826776277158,0.03517322372284205,0.03214285714285714,0.9678571428571429,0.9865001467317708,0.9745208691018308,0.9906040268456375,0.967741935483871,55.0,0.0,1.0,130.0,1.0,0.0,0.017857142857142856,0.9821428571428571,0.9923664122137404,0.9774436090225563,0.0011191558795046923,0.03829812748636641,2.489979919597747,7.797435475847171,2.489979919597747,7.368853370776216,0.059526318239235376,0.05952631823923539,0.04446392713567404,0.04446392713567402,0.018312623714120308,0.02941725215240492,"[0.9919354838709677, 0.9906040268456375, 0.9892617449664429, 0.9892617449664429, 0.9906040268456375]","[0.9037433155080213, 0.967741935483871, 0.9946236559139785, 1.0, 0.9623655913978495]","[56, 50, 55, 56, 54]","[18, 0, 0, 0, 5]","[0, 6, 1, 0, 2]","[113, 130, 130, 130, 125]","[0.8625954198473282, 1.0, 1.0, 1.0, 0.9615384615384616]","[0.13740458015267176, 0.0, 0.0, 0.0, 0.038461538461538464]","[0.0, 0.10714285714285714, 0.017857142857142856, 0.0, 0.03571428571428571]","[1.0, 0.8928571428571429, 0.9821428571428571, 1.0, 0.9642857142857143]","[1.0, 0.9558823529411765, 0.9923664122137404, 1.0, 0.984251968503937]","[0.9262295081967213, 0.9774436090225563, 0.9961685823754789, 1.0, 0.9727626459143969]","[[[56, 0], [18, 113]], [[50, 6], [0, 130]], [[55, 1], [0, 130]], [[56, 0], [0, 130]], [[54, 2], [5, 125]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.9076648841354723,48.4,9.6,7.6,120.6,0.926412213740458,0.07358778625954199,0.13571428571428573,0.8642857142857142,0.9422500334215105,0.9325387294144354,1.0,0.9193548387096774,51.0,5.0,5.0,125.0,0.9615384615384616,0.038461538461538464,0.08928571428571429,0.9107142857142857,0.9615384615384616,0.9450549450549451,0.0,0.051642837060609625,5.128352561983234,9.710818709048171,5.128352561983234,9.396807968666808,0.07428731179455703,0.07428731179455704,0.09157772432112918,0.09157772432112918,0.03705407781529926,0.03948723006472819,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8716577540106952, 0.9193548387096774, 0.9623655913978495, 0.946236559139785, 0.8387096774193549]","[54, 42, 51, 51, 44]","[22, 1, 2, 5, 18]","[2, 14, 5, 5, 12]","[109, 129, 128, 125, 112]","[0.8320610687022901, 0.9923076923076923, 0.9846153846153847, 0.9615384615384616, 0.8615384615384616]","[0.16793893129770993, 0.007692307692307693, 0.015384615384615385, 0.038461538461538464, 0.13846153846153847]","[0.03571428571428571, 0.25, 0.08928571428571429, 0.08928571428571429, 0.21428571428571427]","[0.9642857142857143, 0.75, 0.9107142857142857, 0.9107142857142857, 0.7857142857142857]","[0.9819819819819819, 0.9020979020979021, 0.9624060150375939, 0.9615384615384616, 0.9032258064516129]","[0.9008264462809917, 0.9450549450549451, 0.973384030418251, 0.9615384615384616, 0.8818897637795274]","[[[54, 2], [22, 109]], [[42, 14], [1, 129]], [[51, 5], [2, 128]], [[51, 5], [5, 125]], [[44, 12], [18, 112]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9731815306767867,53.8,2.8,2.2,127.4,0.9785907222548443,0.021409277745155608,0.039285714285714285,0.9607142857142857,0.9834554193332818,0.9805707726237143,1.0,0.9731182795698925,54.0,0.0,2.0,130.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9811320754716981,0.0,0.023014408722023462,2.2803508501982757,4.764451699828639,2.280350850198276,4.335896677735761,0.03637179426494652,0.0363717942649465,0.040720550896397784,0.040720550896397784,0.017066351224926765,0.01707855805396404,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9411764705882353, 0.9731182795698925, 0.989247311827957, 1.0, 0.9623655913978495]","[56, 51, 54, 56, 52]","[11, 0, 0, 0, 3]","[0, 5, 2, 0, 4]","[120, 130, 130, 130, 127]","[0.916030534351145, 1.0, 1.0, 1.0, 0.9769230769230769]","[0.08396946564885496, 0.0, 0.0, 0.0, 0.023076923076923078]","[0.0, 0.08928571428571429, 0.03571428571428571, 0.0, 0.07142857142857142]","[1.0, 0.9107142857142857, 0.9642857142857143, 1.0, 0.9285714285714286]","[1.0, 0.9629629629629629, 0.9848484848484849, 1.0, 0.9694656488549618]","[0.9561752988047809, 0.9811320754716981, 0.9923664122137404, 1.0, 0.9731800766283524]","[[[56, 0], [11, 120]], [[51, 5], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [0, 130]], [[52, 4], [3, 127]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.979604393076879,55.0,2.8,1.0,127.4,0.9785320023487962,0.021467997651203757,0.017857142857142856,0.9821428571428571,0.9924169475204622,0.985210783599071,1.0,0.978494623655914,56.0,1.0,0.0,129.0,0.9923076923076923,0.007692307692307693,0.0,1.0,1.0,0.9848484848484849,0.0,0.01796448219419039,1.7320508075688772,3.420526275297414,1.7320508075688772,3.2093613071762426,0.026229683164096105,0.026229683164096098,0.03092947870658709,0.03092947870658708,0.012928554140487073,0.01315474765709808,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9679144385026738, 0.978494623655914, 0.9946236559139785, 1.0, 0.956989247311828]","[56, 52, 56, 56, 55]","[6, 0, 1, 0, 7]","[0, 4, 0, 0, 1]","[125, 130, 129, 130, 123]","[0.9541984732824428, 1.0, 0.9923076923076923, 1.0, 0.9461538461538461]","[0.04580152671755725, 0.0, 0.007692307692307693, 0.0, 0.05384615384615385]","[0.0, 0.07142857142857142, 0.0, 0.0, 0.017857142857142856]","[1.0, 0.9285714285714286, 1.0, 1.0, 0.9821428571428571]","[1.0, 0.9701492537313433, 1.0, 1.0, 0.9919354838709677]","[0.9765625, 0.9848484848484849, 0.9961389961389961, 1.0, 0.9685039370078741]","[[[56, 0], [6, 125]], [[52, 4], [0, 130]], [[56, 0], [1, 129]], [[56, 0], [0, 130]], [[55, 1], [7, 123]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9817434305100339,54.6,2.0,1.4,128.2,0.984662360540223,0.015337639459776864,0.025,0.975,0.9893786879555708,0.9869131287735939,1.0,0.9786096256684492,56.0,2.0,0.0,128.0,0.9846153846153847,0.015384615384615385,0.0,1.0,1.0,0.9848484848484849,0.0,0.014013267746975151,1.9493588689617927,2.0,1.9493588689617927,1.7888543819998317,0.015326142955100408,0.015326142955100394,0.034809979802889156,0.03480997980288915,0.014729550126440751,0.010051869495284601,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9786096256684492, 0.978494623655914, 1.0, 0.989247311827957, 0.9623655913978495]","[56, 52, 56, 56, 53]","[4, 0, 0, 2, 4]","[0, 4, 0, 0, 3]","[127, 130, 130, 128, 126]","[0.9694656488549618, 1.0, 1.0, 0.9846153846153847, 0.9692307692307692]","[0.030534351145038167, 0.0, 0.0, 0.015384615384615385, 0.03076923076923077]","[0.0, 0.07142857142857142, 0.0, 0.0, 0.05357142857142857]","[1.0, 0.9285714285714286, 1.0, 1.0, 0.9464285714285714]","[1.0, 0.9701492537313433, 1.0, 1.0, 0.9767441860465116]","[0.9844961240310077, 0.9848484848484849, 1.0, 0.9922480620155039, 0.9729729729729729]","[[[56, 0], [4, 127]], [[52, 4], [0, 130]], [[56, 0], [0, 130]], [[56, 0], [2, 128]], [[53, 3], [4, 126]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9795928928756255,53.4,1.2,2.6,129.0,0.9908044627128596,0.00919553728714034,0.04642857142857142,0.9535714285714286,0.9805618145710225,0.985531679565,1.0,0.9786096256684492,55.0,0.0,1.0,130.0,1.0,0.0,0.017857142857142856,0.9821428571428571,0.9922480620155039,0.9846153846153846,0.0,0.014916765707906569,2.60768096208106,1.6431676725154982,2.60768096208106,1.4142135623730951,0.012591662034031316,0.012591662034031299,0.0465657314657332,0.04656573146573318,0.018911985740953176,0.010479406931741448,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9786096256684492, 0.9623655913978495, 0.9946236559139785, 0.9946236559139785, 0.967741935483871]","[55, 49, 55, 55, 53]","[3, 0, 0, 0, 3]","[1, 7, 1, 1, 3]","[128, 130, 130, 130, 127]","[0.9770992366412213, 1.0, 1.0, 1.0, 0.9769230769230769]","[0.022900763358778626, 0.0, 0.0, 0.0, 0.023076923076923078]","[0.017857142857142856, 0.125, 0.017857142857142856, 0.017857142857142856, 0.05357142857142857]","[0.9821428571428571, 0.875, 0.9821428571428571, 0.9821428571428571, 0.9464285714285714]","[0.9922480620155039, 0.948905109489051, 0.9923664122137404, 0.9923664122137404, 0.9769230769230769]","[0.9846153846153846, 0.9737827715355805, 0.9961685823754789, 0.9961685823754789, 0.9769230769230769]","[[[55, 1], [3, 128]], [[49, 7], [0, 130]], [[55, 1], [0, 130]], [[55, 1], [0, 130]], [[53, 3], [3, 127]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9806911620953367,55.0,2.6,1.0,127.6,0.9800939518496771,0.019906048150322958,0.017857142857142856,0.9821428571428571,0.992442549158967,0.9859829843712717,1.0,0.978494623655914,56.0,0.0,0.0,130.0,1.0,0.0,0.0,1.0,1.0,0.9848484848484849,0.0,0.019164422037072804,1.7320508075688772,3.714835124201342,1.7320508075688772,3.361547262794322,0.028405204520507744,0.028405204520507755,0.03092947870658709,0.03092947870658708,0.01292748907318073,0.014040149268797878,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9572192513368984, 0.978494623655914, 1.0, 1.0, 0.967741935483871]","[56, 52, 56, 56, 55]","[8, 0, 0, 0, 5]","[0, 4, 0, 0, 1]","[123, 130, 130, 130, 125]","[0.9389312977099237, 1.0, 1.0, 1.0, 0.9615384615384616]","[0.061068702290076333, 0.0, 0.0, 0.0, 0.038461538461538464]","[0.0, 0.07142857142857142, 0.0, 0.0, 0.017857142857142856]","[1.0, 0.9285714285714286, 1.0, 1.0, 0.9821428571428571]","[1.0, 0.9701492537313433, 1.0, 1.0, 0.9920634920634921]","[0.9685039370078741, 0.9848484848484849, 1.0, 1.0, 0.9765625]","[[[56, 0], [8, 123]], [[52, 4], [0, 130]], [[56, 0], [0, 130]], [[56, 0], [0, 130]], [[55, 1], [5, 125]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
