,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9232034350869597,0.8862515094014146,44.2,9.4,11.8,120.8,0.9277745155607751,0.0722254844392249,0.21071428571428572,0.7892857142857143,0.9180100926182344,0.9200067846201563,0.9275167785234899,0.9032258064516129,49.0,7.0,7.0,124.0,0.9465648854961832,0.05343511450381679,0.125,0.875,0.9444444444444444,0.9296874999999999,0.010818406224887857,0.07034560632520728,12.537942414925983,8.414273587185052,12.537942414925984,8.497058314499201,0.06475474586783667,0.06475474586783664,0.223891828837964,0.223891828837964,0.07711923099057705,0.04668946159161968,"[0.9327956989247311, 0.9302013422818792, 0.9194630872483222, 0.9060402684563759, 0.9275167785234899]","[0.786096256684492, 0.9032258064516129, 0.978494623655914, 0.9032258064516129, 0.8602150537634409]","[23, 43, 53, 49, 53]","[7, 5, 1, 11, 23]","[33, 13, 3, 7, 3]","[124, 125, 129, 119, 107]","[0.9465648854961832, 0.9615384615384616, 0.9923076923076923, 0.9153846153846154, 0.823076923076923]","[0.05343511450381679, 0.038461538461538464, 0.007692307692307693, 0.08461538461538462, 0.17692307692307693]","[0.5892857142857143, 0.23214285714285715, 0.05357142857142857, 0.125, 0.05357142857142857]","[0.4107142857142857, 0.7678571428571429, 0.9464285714285714, 0.875, 0.9464285714285714]","[0.7898089171974523, 0.9057971014492754, 0.9772727272727273, 0.9444444444444444, 0.9727272727272728]","[0.8611111111111112, 0.9328358208955224, 0.9847328244274809, 0.9296874999999999, 0.8916666666666666]","[[[23, 33], [7, 124]], [[43, 13], [5, 125]], [[53, 3], [1, 129]], [[49, 7], [11, 119]], [[53, 3], [23, 107]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,1.0,0.9528319245586797,53.4,6.2,2.6,124.0,0.9526012918379332,0.04739870816206694,0.04642857142857142,0.9535714285714286,0.9806149732620322,0.9644464154133108,1.0,0.967741935483871,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9770992366412214,0.0,0.050037760886866504,2.9664793948382653,10.56882207249228,2.9664793948382653,10.124228365658293,0.08064583644907178,0.08064583644907178,0.05297284633639759,0.05297284633639759,0.02189844287878427,0.040094710772292264,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8663101604278075, 0.956989247311828, 0.989247311827957, 0.9838709677419355, 0.967741935483871]","[56, 49, 54, 56, 52]","[25, 1, 0, 3, 2]","[0, 7, 2, 0, 4]","[106, 129, 130, 127, 128]","[0.8091603053435115, 0.9923076923076923, 1.0, 0.9769230769230769, 0.9846153846153847]","[0.19083969465648856, 0.007692307692307693, 0.0, 0.023076923076923078, 0.015384615384615385]","[0.0, 0.125, 0.03571428571428571, 0.0, 0.07142857142857142]","[1.0, 0.875, 0.9642857142857143, 1.0, 0.9285714285714286]","[1.0, 0.9485294117647058, 0.9848484848484849, 1.0, 0.9696969696969697]","[0.8945147679324894, 0.9699248120300752, 0.9923664122137404, 0.9883268482490272, 0.9770992366412214]","[[[56, 0], [25, 106]], [[49, 7], [1, 129]], [[54, 2], [0, 130]], [[56, 0], [3, 127]], [[52, 4], [2, 128]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9605307786678214,0.91626128457248,48.2,7.8,7.8,122.4,0.9402348796241926,0.059765120375807404,0.1392857142857143,0.8607142857142858,0.9424240809459551,0.9398688713358447,0.9624161073825503,0.9032258064516129,52.0,6.0,4.0,124.0,0.9538461538461539,0.046153846153846156,0.07142857142857142,0.9285714285714286,0.9694656488549618,0.9343065693430657,0.012386755638314342,0.03852552722816261,6.220932405998316,7.224956747275376,6.220932405998316,6.8044103344816,0.055081093537354055,0.055081093537354034,0.11108807867854135,0.11108807867854134,0.042504681829223664,0.028615309108733566,"[0.9771505376344086, 0.9664429530201343, 0.9476510067114094, 0.9489932885906041, 0.9624161073825503]","[0.8770053475935828, 0.9032258064516129, 0.9623655913978495, 0.9516129032258065, 0.8870967741935484]","[53, 40, 52, 53, 43]","[20, 2, 3, 6, 8]","[3, 16, 4, 3, 13]","[111, 128, 127, 124, 122]","[0.8473282442748091, 0.9846153846153847, 0.9769230769230769, 0.9538461538461539, 0.9384615384615385]","[0.15267175572519084, 0.015384615384615385, 0.023076923076923078, 0.046153846153846156, 0.06153846153846154]","[0.05357142857142857, 0.2857142857142857, 0.07142857142857142, 0.05357142857142857, 0.23214285714285715]","[0.9464285714285714, 0.7142857142857143, 0.9285714285714286, 0.9464285714285714, 0.7678571428571429]","[0.9736842105263158, 0.8888888888888888, 0.9694656488549618, 0.9763779527559056, 0.9037037037037037]","[0.9061224489795918, 0.9343065693430657, 0.9731800766283524, 0.9649805447470817, 0.920754716981132]","[[[53, 3], [20, 111]], [[40, 16], [2, 128]], [[52, 4], [3, 127]], [[53, 3], [6, 124]], [[43, 13], [8, 122]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9476358519159993,0.8582715197515958,53.2,23.6,2.8,106.6,0.8188843217850852,0.18111567821491487,0.05,0.95,0.9760404416097114,0.8846095556248402,0.9476510067114094,0.8440860215053764,54.0,26.0,2.0,104.0,0.8,0.2,0.03571428571428571,0.9642857142857143,0.9767441860465116,0.8776371308016878,0.007543733402953377,0.090664889641974,2.5884358211089573,18.40652058374966,2.588435821108957,18.24280680158621,0.14123531231611672,0.14123531231611672,0.046222068234088524,0.046222068234088524,0.0192266825154199,0.08043703773788342,"[0.9435483870967742, 0.9476510067114094, 0.9476510067114094, 0.9395973154362416, 0.959731543624161]","[0.8074866310160428, 0.9408602150537635, 0.956989247311828, 0.8440860215053764, 0.7419354838709677]","[56, 49, 54, 53, 54]","[36, 4, 6, 26, 46]","[0, 7, 2, 3, 2]","[95, 126, 124, 104, 84]","[0.7251908396946565, 0.9692307692307692, 0.9538461538461539, 0.8, 0.6461538461538462]","[0.2748091603053435, 0.03076923076923077, 0.046153846153846156, 0.2, 0.35384615384615387]","[0.0, 0.125, 0.03571428571428571, 0.05357142857142857, 0.03571428571428571]","[1.0, 0.875, 0.9642857142857143, 0.9464285714285714, 0.9642857142857143]","[1.0, 0.9473684210526315, 0.9841269841269841, 0.9719626168224299, 0.9767441860465116]","[0.8407079646017699, 0.9581749049429658, 0.96875, 0.8776371308016878, 0.7777777777777778]","[[[56, 0], [36, 95]], [[49, 7], [4, 126]], [[54, 2], [6, 124]], [[53, 3], [26, 104]], [[54, 2], [46, 84]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.7111091944109023,30.2,28.0,25.8,102.2,0.784920728126835,0.21507927187316503,0.4607142857142857,0.5392857142857143,0.7997864602757689,0.791323554593462,1.0,0.7043010752688172,31.0,26.0,25.0,105.0,0.8015267175572519,0.1984732824427481,0.44642857142857145,0.5535714285714286,0.7867647058823529,0.782608695652174,0.0,0.06278194053554453,7.661592523751182,7.842193570679061,7.661592523751182,7.918333157931661,0.06042568501016289,0.0604256850101629,0.13681415220984255,0.1368141522098425,0.0499034219271515,0.04724656567742543,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6684491978609626, 0.7204301075268817, 0.6505376344086021, 0.8118279569892473, 0.7043010752688172]","[20, 27, 31, 41, 32]","[26, 23, 40, 20, 31]","[36, 29, 25, 15, 24]","[105, 107, 90, 110, 99]","[0.8015267175572519, 0.823076923076923, 0.6923076923076923, 0.8461538461538461, 0.7615384615384615]","[0.1984732824427481, 0.17692307692307693, 0.3076923076923077, 0.15384615384615385, 0.23846153846153847]","[0.6428571428571429, 0.5178571428571429, 0.44642857142857145, 0.26785714285714285, 0.42857142857142855]","[0.35714285714285715, 0.48214285714285715, 0.5535714285714286, 0.7321428571428571, 0.5714285714285714]","[0.7446808510638298, 0.7867647058823529, 0.782608695652174, 0.88, 0.8048780487804879]","[0.7720588235294117, 0.8045112781954886, 0.7346938775510203, 0.8627450980392156, 0.782608695652174]","[[[20, 36], [26, 105]], [[27, 29], [23, 107]], [[31, 25], [40, 90]], [[41, 15], [20, 110]], [[32, 24], [31, 99]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.8551147145075039,30.2,1.2,25.8,129.0,0.9907692307692308,0.009230769230769232,0.46071428571428574,0.5392857142857144,0.8394542674119231,0.9071941487864781,1.0,0.8548387096774194,34.0,0.0,22.0,130.0,1.0,0.0,0.39285714285714285,0.6071428571428571,0.8503401360544217,0.9025270758122743,0.0,0.07750480466159954,14.88959368149447,2.16794833886788,14.88959368149447,2.345207879911715,0.016676525683599064,0.016676525683599078,0.26588560145525836,0.26588560145525836,0.07593522761805183,0.044758310192655,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7433155080213903, 0.8225806451612904, 0.9301075268817204, 0.9247311827956989, 0.8548387096774194]","[8, 23, 43, 43, 34]","[0, 0, 0, 1, 5]","[48, 33, 13, 13, 22]","[131, 130, 130, 129, 125]","[1.0, 1.0, 1.0, 0.9923076923076923, 0.9615384615384616]","[0.0, 0.0, 0.0, 0.007692307692307693, 0.038461538461538464]","[0.8571428571428571, 0.5892857142857143, 0.23214285714285715, 0.23214285714285715, 0.39285714285714285]","[0.14285714285714285, 0.4107142857142857, 0.7678571428571429, 0.7678571428571429, 0.6071428571428571]","[0.7318435754189944, 0.7975460122699386, 0.9090909090909091, 0.9084507042253521, 0.8503401360544217]","[0.8451612903225807, 0.8873720136518771, 0.9523809523809523, 0.948529411764706, 0.9025270758122743]","[[[8, 48], [0, 131]], [[23, 33], [0, 130]], [[43, 13], [0, 130]], [[43, 13], [1, 129]], [[34, 22], [5, 125]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.943154505203841,52.8,7.4,3.2,122.8,0.9433587786259542,0.0566412213740458,0.05714285714285714,0.9428571428571428,0.9756003973914421,0.9577029275953108,1.0,0.978494623655914,54.0,4.0,2.0,126.0,0.9692307692307692,0.03076923076923077,0.03571428571428571,0.9642857142857143,0.9846153846153847,0.9843749999999999,0.0,0.051242230713671684,3.9623225512317894,9.476286192385707,3.96232255123179,9.038805230781334,0.072277449570935,0.07227744957093502,0.07075575984342483,0.07075575984342483,0.029289141507041965,0.03994834718805477,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8663101604278075, 0.9139784946236559, 0.978494623655914, 0.978494623655914, 0.978494623655914]","[55, 46, 53, 56, 54]","[24, 6, 1, 4, 2]","[1, 10, 3, 0, 2]","[107, 124, 129, 126, 128]","[0.816793893129771, 0.9538461538461539, 0.9923076923076923, 0.9692307692307692, 0.9846153846153847]","[0.183206106870229, 0.046153846153846156, 0.007692307692307693, 0.03076923076923077, 0.015384615384615385]","[0.017857142857142856, 0.17857142857142858, 0.05357142857142857, 0.0, 0.03571428571428571]","[0.9821428571428571, 0.8214285714285714, 0.9464285714285714, 1.0, 0.9642857142857143]","[0.9907407407407407, 0.9253731343283582, 0.9772727272727273, 1.0, 0.9846153846153847]","[0.8953974895397491, 0.9393939393939394, 0.9847328244274809, 0.9843749999999999, 0.9846153846153847]","[[[55, 1], [24, 107]], [[46, 10], [6, 124]], [[53, 3], [1, 129]], [[56, 0], [4, 126]], [[54, 2], [2, 128]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.8991317348053591,45.8,8.6,10.2,121.6,0.9340458015267176,0.06595419847328245,0.18214285714285713,0.8178571428571428,0.9229147049940483,0.9283584592142246,1.0,0.9032258064516129,45.0,6.0,11.0,124.0,0.9538461538461539,0.046153846153846156,0.19642857142857142,0.8035714285714286,0.9147286821705426,0.9323308270676691,0.0,0.06201509717254872,6.058052492344383,5.89915248150105,6.058052492344384,5.549774770204643,0.04502355066459027,0.04502355066459024,0.108179508791864,0.108179508791864,0.045207028533642876,0.043948348799532,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8074866310160428, 0.9032258064516129, 0.967741935483871, 0.9408602150537635, 0.8763440860215054]","[37, 44, 52, 51, 45]","[17, 6, 2, 6, 12]","[19, 12, 4, 5, 11]","[114, 124, 128, 124, 118]","[0.8702290076335878, 0.9538461538461539, 0.9846153846153847, 0.9538461538461539, 0.9076923076923077]","[0.1297709923664122, 0.046153846153846156, 0.015384615384615385, 0.046153846153846156, 0.09230769230769231]","[0.3392857142857143, 0.21428571428571427, 0.07142857142857142, 0.08928571428571429, 0.19642857142857142]","[0.6607142857142857, 0.7857142857142857, 0.9285714285714286, 0.9107142857142857, 0.8035714285714286]","[0.8571428571428571, 0.9117647058823529, 0.9696969696969697, 0.9612403100775194, 0.9147286821705426]","[0.8636363636363635, 0.9323308270676691, 0.9770992366412214, 0.9575289575289576, 0.9111969111969112]","[[[37, 19], [17, 114]], [[44, 12], [6, 124]], [[52, 4], [2, 128]], [[51, 5], [6, 124]], [[45, 11], [12, 118]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.8636478638376172,40.0,9.4,16.0,120.8,0.9278684674104521,0.07213153258954785,0.2857142857142857,0.7142857142857142,0.8843793101287624,0.9048786808509106,1.0,0.8602150537634409,37.0,7.0,19.0,123.0,0.9461538461538461,0.05384615384615385,0.3392857142857143,0.6607142857142857,0.8538461538461538,0.9078014184397163,0.0,0.06333759853461855,7.516648189186454,7.3006848993775915,7.516648189186454,7.12039324756716,0.05599134101366243,0.05599134101366242,0.13422586052118668,0.13422586052118665,0.05059846878613248,0.04481731850971236,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8074866310160428, 0.8602150537634409, 0.9354838709677419, 0.9193548387096774, 0.7956989247311828]","[35, 32, 48, 48, 37]","[15, 2, 4, 7, 19]","[21, 24, 8, 8, 19]","[116, 128, 126, 123, 111]","[0.8854961832061069, 0.9846153846153847, 0.9692307692307692, 0.9461538461538461, 0.8538461538461538]","[0.11450381679389313, 0.015384615384615385, 0.03076923076923077, 0.05384615384615385, 0.14615384615384616]","[0.375, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.3392857142857143]","[0.625, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 0.6607142857142857]","[0.8467153284671532, 0.8421052631578947, 0.9402985074626866, 0.9389312977099237, 0.8538461538461538]","[0.8656716417910448, 0.9078014184397163, 0.9545454545454547, 0.9425287356321839, 0.8538461538461538]","[[[35, 21], [15, 116]], [[32, 24], [2, 128]], [[48, 8], [4, 126]], [[48, 8], [7, 123]], [[37, 19], [19, 111]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9517624058421023,52.8,5.8,3.2,124.4,0.9556664709336464,0.044333529066353496,0.05714285714285714,0.9428571428571428,0.9754931487026717,0.9638941465479279,1.0,0.9623655913978495,53.0,2.0,3.0,128.0,0.9846153846153847,0.015384615384615385,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9737827715355805,0.0,0.05221480578776786,2.588435821108957,10.256705123966467,2.5884358211089573,9.813256340277677,0.07827259955819546,0.07827259955819547,0.046222068234088524,0.04622206823408852,0.018611611999377286,0.04127592469164025,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8609625668449198, 0.9623655913978495, 0.9838709677419355, 0.989247311827957, 0.9623655913978495]","[54, 49, 53, 56, 52]","[24, 0, 0, 2, 3]","[2, 7, 3, 0, 4]","[107, 130, 130, 128, 127]","[0.816793893129771, 1.0, 1.0, 0.9846153846153847, 0.9769230769230769]","[0.183206106870229, 0.0, 0.0, 0.015384615384615385, 0.023076923076923078]","[0.03571428571428571, 0.125, 0.05357142857142857, 0.0, 0.07142857142857142]","[0.9642857142857143, 0.875, 0.9464285714285714, 1.0, 0.9285714285714286]","[0.981651376146789, 0.948905109489051, 0.9774436090225563, 1.0, 0.9694656488549618]","[0.8916666666666667, 0.9737827715355805, 0.988593155893536, 0.9922480620155039, 0.9731800766283524]","[[[54, 2], [24, 107]], [[49, 7], [0, 130]], [[53, 3], [0, 130]], [[56, 0], [2, 128]], [[52, 4], [3, 127]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
